Genre,Count
metal,11
heavy metal,10
rock,259
ballad,13
metallica,6
alternative rock,96
90s,201
female vocalists,66
alternative,146
classic rock,46
hard rock,14
aerosmith,1
,298
love,21
soundtrack,14
pop,115
grunge,45
alice in chains,2
singer-songwriter,47
new zealand,1
punk rock,11
pop punk,5
punk,14
britpop,28
indie,36
british,27
folk,37
sad,4
melancholy,6
love songs,8
bon jovi,2
80s,24
blues,12
chillout,5
cover,9
covers,1
mellow,12
counting crows,2
acoustic,26
david gray,2
new wave,5
swedish,1
eagles,1
70s,1
soft rock,5
indie rock,9
opm,8
pinoy,1
baroque rock,1
eraserheads,1
guitar,5
irish,11
irish punk,1
celtic,3
foo fighters,4
german,1
blues rock,4
green day,3
4 stars,1
guns n roses,3
incubus,1
beautiful,9
easy listening,3
waltz,1
live,1
country,27
lonestar,1
amazed,1
latin,4
reggae,5
spanish,1
manu chao,1
world,1
marc cohn,1
lush,1
dream pop,4
thrash metal,3
michael jackson,3
king of pop,1
hair metal,1
muse,1
australian,2
neil young,2
lo-fi,3
industrial,1
industrial rock,1
nirvana,11
ska,5
oasis,13
brothers,1
pinoy pop rock,1
pearl jam,7
queen,1
radiohead,10
electronic,5
great,1
great video,1
radioultra,1
red hot chili peppers,6
funk,5
robbie williams,3
happy,2
summer,2
rusted root,1
latin rock,1
scorpions,1
sister hazel,1
christian,10
worship,7
contemporary christian,3
praise and worship,2
open the eyes of my heart,1
christian rock,1
sting,2
sublime,2
comedy,2
funny,1
tenacious d,1
southern rock,2
post-punk,4
irish folk,3
90's,1
canadian,16
holy amazing canadian music,1
makes me cry,1
suicide,1
tom petty,3
u2,1
weezer,2
french,3
chanson francaise,3
chanson française,1
alain souchon,1
backstreet boys,2
boybands,4
dance,8
britney spears,1
sexy,1
celine dion,9
cher,1
disney,3
mulan,1
rnb,10
soul,13
hip-hop,7
dido,1
francais,1
dutch,1
nederlandstalig,1
nederpop,1
carnaval,1
eurodance,3
disco,1
hanson,1
schlager,1
deutsch,1
historia de un amor,1
christmas,16
xmas,1
mariah carey,3
divas,1
michael w smith,1
phil collins,1
ronan keating,1
savage garden,2
romantic,2
spice girls,1
the corrs,1
toni braxton,1
van morrison,1
westlife,1
whitney houston,1
rap,4
piano,5
shania twain,2
holiday,2
christmas music,1
yule,1
christmas 2008,1
garth brooks,4
friends in low places,1
classic country,3
highwayman,1
synth pop,1
depeche mode,1
praise,5
hip hop,4
west coast rap,1
gospel,1
country christmas,2
folk rock,4
awesome,2
country rock,2
fiona apple,1
norwegian,1
coldplay,1
friday,1
duets,1
blackstreet,1
alt-country,2
pavement,1
lenny kravitz,1
australian artist,1
shoegaze,3
jewel,1
freedom,1
jazz,4
eva cassidy,2
christian worship,1
praise & worship,3
post-hardcore,1
hardcore,1
filipino,2
the beatles,1
1993,1
the band,1
loved at first listen,1
acid jazz,1
bryan adams,1
gangsta rap,1
west coast,1
tlc,1
rb,1
iron maiden,1
nwobhm,1
experimental,1
fun,1
tagalog songs,1
christmas tagalog,1
blind melon,1
funk rock,2
mercyme,1
praise  worship,1
inspirational,1
favorite tracks,1
everlast,1
songs i sing along to in the car when no ones around,1
dixie chicks,2
the kelly family,1
angel,1
nostalgic,1
aamuzikwesome,1
hummable,1
indie pop classic,1
strawberry wine,1
cuban,1
buena vista social club,1
cuba,1
power metal,1
speed metal,1
symphonic metal,1
kerst,1
ost,1
pinoy rock,2
rock francais,1
def leppard,1
placebo,1
john anderson,1
seminole wind,1
creed,1
worship and praise,1
horror punk,1
everclear,1
sarah mclachlan,1
ben harper,1
david lee murphy,1
1998,1
harmonica,2
rock n roll,1
slow jams,1
smooth,1
trip-hop,3
danish,1
singalong,1
dancemania,1
downtempo,1
progressive rock,2
seal,1
spiked eggnog,1
boy band,1
bruce springsteen,1
psychedelic rock,1
pink floyd,1
john mayer,1
george strait,2
dreamy,1
tom waits,1
indie pop,1
twee,1
party,1
alan jackson,1
bluegrass,1
goo goo dolls,1
collective soul,1
madonna,1
write this down,1
girl interrupted,1
pinoy music,1
toby keith,1
male country,1
contemporary country,1
crowded house,2
