Genre,Count
classic rock,269
rock,258
singer-songwriter,106
british,25
pop,85
70s,221
hard rock,23
heavy metal,6
australian artist,3
aerosmith,1
80s,27
metal,4
soft rock,25
folk,85
america,2
disco,16
bee gees,3
oldies,28
,284
female vocalists,22
bette midler,1
ballad,9
romantic,6
piano,11
billy joel,4
new wave,8
folk rock,23
bob dylan,3
70s rhythm and blues,1
blues,18
boston,1
love song,1
bread,1
bruce springsteen,1
elass,1
jazz,3
carole king,1
acoustic,33
cat stevens,2
chicago,2
southern rock,19
creedence clearwater revival,1
60s,26
glam rock,14
alternative,5
david bowie,6
soul,19
deep purple,2
rock ballads,1
dire straits,1
guitar,7
eagles,10
country rock,4
country,31
progressive rock,28
elton john,8
elvis presley,1
rock n roll,4
rock and roll,2
elvis,2
blues rock,10
reggae,9
mellow,6
easy listening,6
sad,1
fleetwood mac,6
george harrison,3
grateful dead,4
psychedelic rock,22
psychedelic,8
jam,1
jackson browne,2
james taylor,4
jim croce,2
beach music,2
love,8
john lennon,3
supernatural,2
kansas,1
love songs,2
led zeppelin,3
lou reed,2
lynyrd skynyrd,4
rock ballad,2
neil young,4
paul simon,1
pink floyd,11
queen,10
backyard,1
4 of 10 stars,1
funk,9
pinoy am fm radio,1
beautiful,5
memories,1
rod stewart,2
latin,1
santana,1
smokie,1
soundtrack,4
steve miller band,1
supertramp,3
post-punk,1
the beatles,5
cure,1
bittersweet,1
the police,1
the rolling stones,7
proto-punk,1
american,1
toto,1
van morrison,3
abba,7
swedish,6
kenny rogers,2
classic country,14
john denver,4
rhythm and blues,1
rnb,2
christmas,17
xmas,6
chillout,1
happy,2
bob marley,5
joni mitchell,1
roots reggae,5
cover,2
bill withers,1
rb,2
london,1
stevie wonder,2
willie nelson,3
dance,6
jamaica,1
radio paradise,1
radioparadise,1
eric clapton,3
uplifting,1
punk,2
punk rock,2
americana,2
male vocals,2
chanson francaise,2
french,1
rock francais,1
swing,1
joulu,1
suomi,1
joululaulu,1
johnny cash,1
leonard cohen,1
folk-rock,1
jamaican,1
best love song ever,1
smoothie,1
old school,1
nice vocal,1
motown,6
funky,1
carpenters,3
chris de burgh,1
roberta flack,1
lyrics,1
best songs ever,1
better-late-than-never,1
holiday,1
easy,1
celtic,3
scottish,2
1978,1
dolly parton,2
chill,1
joe cocker,1
little feat,1
country folk,2
tom waits,1
francais,1
chanson française,1
experimental,1
power pop,2
kris kristofferson,1
scorpions,1
dan hill,1
sunset,1
cruise,1
mood elevator,1
swati,1
yes,1
1975,1
prison,1
holidays,1
comedy,1
monty python,1
funny,1
marshall tucker band,1
michael jackson,2
canadian,1
paul mccartney,1
jamband,1
symphonic rock,1
alternative country,1
argentina,1
mercedes sosa,1
world music,1
the doors,1
let your love flow,1
italianigdchill,1
italian,1
francesco de gregori,1
the big lebowski,1
peace,1
wow,1
irish,1
irish folk,1
neil diamond,1
rainbow,1
glam,1
breaking bad,1
three dog night,1
relativity,1
chris norman,1
juno,1
george jones,1
he stopped loving her today,1
gerry rafferty,1
7soul,1
