Genre,Count
rap,6
hip-hop,13
eminem,2
hip hop,3
,226
rock,214
alternative rock,101
3 doors down,2
alternative,170
love,38
hard rock,14
acoustic,66
post-hardcore,1
amazing,2
songs i can actually listen to on repeat,1
love song,2
pop punk,11
powerpop,1
punk,16
all time low,2
emo,12
alter bridge,1
rock ballad,2
pop,110
female vocalists,74
folk,45
scottish,3
singer-songwriter,63
indie,114
indie rock,39
british,49
arctic monkeys,2
audioslave,1
pop rock,14
avril lavigne,3
canadian artist,1
scrubs,1
makes me cry,1
songs that remind me of my heartbreaks,1
beautiful,28
melancholy,2
punk rock,17
classic rock,7
christian rock,8
christian,18
worship,18
contemporary christian,10
praise you in this storm,1
casting crowns,1
soundtrack,17
james bond,1
casino royale,1
coldplay,13
britpop,27
mellow,21
piano,16
happy,3
shrek,1
creed,1
grunge,11
bad day,1
indie folk,8
indie pop,9
alt-country,10
german,3
rock n roll,1
oldies,1
rock and roll,1
electronic,8
synthpop,1
gothic,3
gothic rock,2
evanescence,2
supernatural ost,1
nostalgia,1
school,1
supernatural,1
foo fighters,3
power pop,1
franz ferdinand,1
post-grunge,2
sad,13
donnie darko,1
green day,8
hillsong united,2
hillsong,1
lead me to the cross,1
hoobastank,1
songs that make me smile,1
pakistani,1
soft rock,2
james blunt,2
duet,2
summer,2
jimmy eat world,1
john mayer,4
blues,5
jonas brothers,1
sweet,3
disney,2
keane,2
kelly clarkson,1
kid rock,1
country,55
southern rock,1
sheryl crow,1
lifehouse,1
nu metal,10
limp bizkit,1
linkin park,5
maroon 5,4
mcfly,1
dance,13
electro,1
michael w smith,3
mika,1
modest mouse,1
twee,2
canadian,3
progressive rock,2
muse,5
my chemical romance,4
post-punk,1
nickelback,4
oasis,3
piano rock,5
onerepublic,1
paolo nutini,1
twilight,1
paramore,4
opm,3
filipino,1
pearl jam,1
radiohead,5
funk,9
red hot chili peppers,4
funk rock,2
anti war,1
melodic hardcore,2
robbie williams,1
love songs,1
seether,1
simple plan,1
snow patrol,1
staind,1
irish,3
americana,6
stone sour,1
metal,9
finnish,1
alternative metal,5
system of a down,3
taylor swift,13
country pop,4
romantic,6
comedy,3
funny,2
comedy rock,2
the calling,1
the fray,1
new wave,1
glam rock,1
the killers,2
juno,1
friends,1
foxey radio,1
the script,1
garden state,1
garage rock,2
train,1
long title,1
vanessa carlton,1
weezer,1
90s,3
calminhas,1
my favorite,1
soul,22
adele,1
cover,11
jazz,12
amy winehouse,7
8 of 10 stars,1
rnb,16
chillout,7
britney spears,1
sexy,2
slipknot,1
christian holiday,1
christmas,14
jack johnson,3
chill,5
country christmas,1
into the wild,2
rihanna,2
how great is our god,1
praise and worship,4
easy listening,2
josh groban,1
classical pop,1
downtempo,1
miley cyrus,2
josh turner,2
awesome low voice,1
johnny cash,5
latin,3
male vocalists,4
jazzysxmas,1
lady gaga,2
reggae,2
rascal flatts,1
bless the broken road,1
james morrison,1
bluegrass,4
folk rock,1
ironman christmas,1
funky,2
madcon,1
moral orel,1
alicia keys,2
praise,3
alexandra burke,1
hallelujah,1
winter,1
classical,2
andrea bocelli,1
the cowboy in me,1
contemporary folk,1
country folk,1
metalcore,1
j-pop,1
japanese,1
city pop,1
xmas,1
norah jones,2
personal,1
depression,1
i wish i could make a video for this,1
i can imagine that song in a movie,1
i want to be independent listening to,1
dido,1
eurovision,1
eurovision 2009,1
norwegian,2
jazzy,1
lovely,1
ballad,3
christina aguilera,2
driving,1
modern country,1
zac brown band,1
matt redman,1
justin timberlake,1
gospel,1
alan jackson,3
dolly parton,1
byran white,1
milow,1
jamey johnson,1
carrie underwood,1
carols,1
christmas music,1
home for christmas,1
westlife,1
boybands,2
john legend,1
deutsch,2
deutschrock,2
30 seconds to mars,1
narnia,1
tamia,1
slow jams,1
quiet storm,1
praise & worship,1
p!nk,1
randy travis,2
classic country,2
sara bareilles,1
955 wkqi,1
electropop,1
true detective,1
progressive,1
thrash,1
modern metal,1
shinedown,1
kari jobe,1
epic,1
poptron,2
three days grace,1
the strokes,1
heavy metal,1
billy ray cyrus,1
hinder,1
pinoy pop rock,1
covers,1
spanish,2
shakira,1
70s,1
john lennon,1
instrumental,1
ne-yo,1
hardcore,1
opm rock,1
abba cover,1
geen genre,1
dixie chicks,1
holiday,1
christmas songs,1
progressive metal,1
post-rock,1
psytrance,1
electronica,1
daft punk,1
melancholic,2
fergie,1
eletronica,1
john frusciante,1
uplifting,1
ben folds,1
chris brown,1
duffy,1
female vocalist,1
demi lovato,1
this is me,1
camp rock,1
natasha bedingfield,1
2009,1
eels-2009-hombre lobo,1
mario,1
australian,1
live,1
humour,1
norsk,1
mark knopfler,1
guitar,1
reamonn,1
lush,1
long black train - i love this song,1
travis tritt,1
male country,1
american,1
swedish,1
ron pope,1
boy band,1
catchy,1
ska,1
miranda lambert,1
going to sleep after a busy day,1
after midnight,1
juanes,1
latino,1
political,1
beirut,1
dirty south,1
atlanta,1
love at first listen,1
