,total_num_sections,num_unique_sections,Song
0,9,6,coldplay_yellow
1,12,7,jason-mraz_im-yours
2,8,4,plain-white-ts_hey-there-delilah
3,17,6,green-day_boulevard-of-broken-dreams
4,8,5,taylor-swift_love-story
5,11,5,coldplay_viva-la-vida
6,7,4,coldplay_fix-you
7,9,5,paramore_the-only-exception
8,9,5,taylor-swift_you-belong-with-me
9,7,3,death-cab-for-cutie_i-will-follow-you-into-the-dark
10,7,4,train_hey-soul-sister
11,5,3,gary-jules_mad-world
12,10,5,keane_somewhere-only-we-know
13,6,4,coldplay_the-scientist
14,10,6,the-killers_mr-brightside
15,10,3,snow-patrol_chasing-cars
16,11,6,the-fray_how-to-save-a-life
17,9,6,maroon-5_she-will-be-loved
18,8,5,linkin-park_numb
19,5,2,green-day_wake-me-up-when-september-ends
20,10,7,train_drops-of-jupiter
21,12,7,weezer_island-in-the-sun
22,7,5,the-white-stripes_seven-nation-army
23,17,4,edward-sharpe-and-the-magnetic-zeros_home
24,9,5,john-mayer_gravity
25,11,6,jason-mraz_lucky
26,11,6,avril-lavigne_complicated
27,11,6,wheatus_teenage-dirtbag
28,10,7,arctic-monkeys_505
29,9,5,amy-macdonald_this-is-the-life
30,4,2,toploader_dancing-in-the-moonlight
31,3,3,coldplay_sparks
32,10,6,green-day_21-guns
33,13,7,the-script_breakeven
34,8,5,arctic-monkeys_mardy-bum
35,9,5,coldplay_clocks
36,8,4,counting-crows_accidentally-in-love
37,11,8,green-day_holiday
38,9,4,limp-bizkit_behind-blue-eyes
39,6,2,linkin-park_in-the-end
40,4,3,the-calling_wherever-you-will-go
41,7,5,3-doors-down_here-without-you
42,11,6,the-shins_new-slang
43,12,6,red-hot-chili-peppers_snow-hey-oh
44,12,7,the-script_the-man-who-cant-be-moved
45,11,6,fall-out-boy_sugar-were-going-down
46,9,5,the-rembrandts_ill-be-there-for-you
47,9,6,audioslave_i-am-the-highway
48,7,4,kings-of-leon_use-somebody
49,7,3,kings-of-leon_sex-on-fire
50,11,6,red-hot-chili-peppers_dani-california
51,9,5,the-killers_read-my-mind
52,6,3,red-hot-chili-peppers_cant-stop
53,9,5,maroon-5_this-love
54,6,4,the-strokes_someday
55,9,6,maroon-5_sunday-morning
56,8,6,system-of-a-down_lonely-day
57,4,2,coldplay_green-eyes
58,10,6,arctic-monkeys_cornerstone
59,8,6,nickelback_how-you-remind-me
60,8,6,blink-182_i-miss-you
61,8,5,the-fratellis_whistle-for-the-choir
62,9,6,lifehouse_you-and-me
63,9,5,stone-sour_through-glass
64,9,6,onerepublic_apologize
65,8,5,fountains-of-wayne_stacys-mom
66,9,6,arctic-monkeys_fluorescent-adolescent
67,7,3,jimmy-eat-world_the-middle
68,10,6,paramore_misery-business
69,7,4,my-chemical-romance_i-dont-love-you
70,7,4,david-crowderband_how-he-loves
71,8,4,taylor-swift_forever-and-always
72,12,5,rise-against_hero-of-war
73,7,3,michael-w-smith_above-all
74,8,4,bon-jovi_its-my-life
75,8,3,kid-rock_picture
76,7,3,linkin-park_crawling
77,8,4,hoobastank_the-reason
78,8,4,the-kooks_naive
79,13,7,the-killers_human
80,6,4,franz-ferdinand_take-me-out
81,11,6,green-day_american-idiot
82,6,2,the-white-stripes_were-going-to-be-friends
83,3,2,tenacious-d_kickapoo
84,13,4,the-moldy-peaches_anyone-else-but-you
85,9,6,keane_everybodys-changing
86,11,7,john-mayer_daughters
87,12,7,mika_grace-kelly
88,13,6,the-killers_when-you-were-young
89,8,4,pearl-jam_just-breathe
90,8,4,nickelback_rockstar
91,10,7,taylor-swift_fearless
92,8,5,avril-lavigne_sk8er-boi
93,9,3,the-kooks_she-moves-in-her-own-way
94,7,6,daniel-powter_bad-day
95,4,3,the-kooks_seaside
96,7,4,taylor-swift_the-way-i-loved-you
97,7,3,john-mayer_free-fallin
98,9,5,wilco_jesus-etc
99,8,3,robbie-williams_feel
100,6,4,casting-crowns_who-am-i
101,7,4,foo-fighters_best-of-you
102,10,6,mother-mother_burning-pile
103,8,5,the-fray_you-found-me
104,11,6,taylor-swift_fifteen
105,8,4,staind_its-been-awhile
106,7,4,my-chemical-romance_helena
107,9,6,arctic-monkeys_when-the-sun-goes-down
108,5,3,brandi-carlile_the-story
109,8,5,taylor-swift_white-horse
110,5,3,band-of-horses_the-funeral
111,9,6,hillsong-united_hosanna
112,7,3,parokya-ni-edgar_your-song
113,9,5,radiohead_how-to-disappear-completely
114,6,3,secondhand-serenade_fall-for-you
115,6,4,the-killers_somebody-told-me
116,14,7,zac-brown-band_toes
117,9,3,florence-the-machine_dog-days-are-over
118,5,3,my-chemical-romance_teenagers
119,9,5,muse_starlight
120,9,6,linkin-park_what-ive-done
121,6,4,ingrid-michaelson_you-and-i
122,8,5,seether_broken
123,8,6,coldplay_in-my-place
124,8,4,paolo-nutini_last-request
125,7,3,element-of-crime_ein-hotdog-unten-am-hafen
126,6,3,red-hot-chili-peppers_by-the-way
127,8,5,a-day-to-remember_if-it-means-a-lot-to-you
128,10,5,my-chemical-romance_welcome-to-the-black-parade
129,10,6,coldplay_trouble
130,30,12,green-day_jesus-of-suburbia
131,8,6,arctic-monkeys_no-buses
132,11,7,avril-lavigne_when-youre-gone
133,9,4,the-white-stripes_fell-in-love-with-a-girl
134,9,5,vanessa-carlton_a-thousand-miles
135,10,6,avril-lavigne_im-with-you
136,8,6,the-killers_all-these-things-that-ive-done
137,6,4,all-time-low_remembering-sunday
138,6,4,jet_are-you-gonna-be-my-girl
139,8,4,anna-nalick_breathe-2-am
140,11,7,paramore_decode
141,4,3,michael-w-smith_draw-me-close
142,13,8,evanescence_my-immortal
143,8,5,foo-fighters_the-pretender
