,total_num_sections,num_unique_sections,Song
0,5,2,eagles_hotel-california
1,6,3,creedence-clearwater-revival_have-you-ever-seen-the-rain
2,9,5,elton-john_your-song
3,9,5,john-lennon_imagine
4,9,4,the-beatles_let-it-be
5,9,7,queen_bohemian-rhapsody
6,6,3,cat-stevens_father-and-son
7,9,7,eagles_take-it-easy
8,9,5,lynyrd-skynyrd_sweet-home-alabama
9,8,6,neil-young_heart-of-gold
10,10,6,bee-gees_how-deep-is-your-love
11,6,3,queen_love-of-my-life
12,5,3,elton-john_rocket-man
13,7,3,eric-clapton_wonderful-tonight
14,6,3,fleetwood-mac_dreams
15,7,3,america_a-horse-with-no-name
16,18,5,billy-joel_piano-man
17,11,5,led-zeppelin_stairway-to-heaven
18,14,4,george-harrison_my-sweet-lord
19,8,5,queen_dont-stop-me-now
20,14,5,dire-straits_sultans-of-swing
21,5,3,elton-john_goodbye-yellow-brick-road
22,5,4,kansas_dust-in-the-wind
23,7,5,cat-stevens_wild-world
24,8,4,the-beatles_across-the-universe
25,8,5,acdc_highway-to-hell
26,10,5,the-rolling-stones_wild-horses
27,9,5,queen_crazy-little-thing-called-love
28,13,6,lynyrd-skynyrd_simple-man
29,5,4,eric-clapton_nobody-knows-you-when-youre-down-and-out
30,9,5,david-bowie_starman
31,8,4,eagles_peaceful-easy-feeling
32,11,6,queen_somebody-to-love
33,8,5,david-bowie_heroes
34,10,7,janis-joplin_me-and-bobby-mcgee
35,7,3,simon-garfunkel_bridge-over-troubled-water
36,8,3,billy-joel_vienna
37,8,4,james-taylor_fire-and-rain
38,7,5,bob-seger-the-silver-bullet-band_night-moves
39,6,4,pink-floyd_time
40,9,7,fleetwood-mac_the-chain
41,9,6,eagles_desperado
42,10,5,eagles_lyin-eyes
43,13,6,elton-john_tiny-dancer
44,8,6,eagles_tequila-sunrise
45,9,5,fleetwood-mac_go-your-own-way
46,11,5,neil-young_old-man
47,6,3,the-beatles_the-long-and-winding-road
48,11,5,the-kinks_lola
49,4,2,david-bowie_life-on-mars
50,5,3,queen_we-are-the-champions
51,1,1,pink-floyd_mother
52,3,2,aerosmith_dream-on
53,7,3,stealers-wheel_stuck-in-the-middle-with-you
54,9,5,jimmy-buffett_margaritaville
55,6,2,deep-purple_smoke-on-the-water
