,total_num_sections,num_unique_sections,Song
0,9,5,hillsong-united_so-will-i-100-billion-x
1,2,2,big-thief_masterpiece
2,6,3,x-ambassadors_unsteady
3,7,4,harry-styles_kiwi
4,7,5,panic-at-the-disco_house-of-memories
5,9,5,linkin-park_castle-of-glass
6,7,6,mitski_your-best-american-girl
7,5,3,pigeon-pit_nights-like-these
8,14,6,cavetown_boys-will-be-bugs
9,11,6,paramore_aint-it-fun
10,7,5,linkin-park_the-messenger
11,11,5,rainbow-kitten-surprise_first-class
12,6,3,the-script_for-the-first-time
13,11,6,noel-gallaghers-high-flying-birds_if-i-had-a-gun
14,9,6,bring-me-the-horizon_drown
15,10,6,lucy-dacus_night-shift
16,5,4,phum-viphurit_lover-boy
17,9,7,demi-lovato_sober
18,10,5,greta-van-fleet_youre-the-one
19,5,4,boygenius_me-and-my-dog
20,10,5,girl-in-red_bad-idea
21,9,6,kodaline_all-i-want
22,9,6,imagine-dragons_believer
23,12,5,one-direction_drag-me-down
24,6,4,ricky-montgomery_my-heart-is-buried-in-venice
25,6,4,neck-deep_december
26,10,6,los-campesinos_romance-is-boring
27,9,5,james-blunt_bonfire-heart
28,5,3,imagine-dragons_warriors
29,7,4,cavetown_fool
30,1,1,beach-bunny_prom-queen
31,9,6,harry-styles_two-ghosts
32,6,4,cavetown_lemon-boy
33,2,2,the-script_hall-of-fame
34,7,5,kygo_it-aint-me
35,8,5,juan-karlos_buwan
36,8,4,x-ambassadors_renegades
37,10,6,bethel-music_ever-be
38,7,4,nothing-but-thieves_lover-please-stay
39,9,6,zac-brown-band_knee-deep
40,2,2,andreas-bourani_auf-uns
41,7,3,cigarettes-after-sex_k
42,8,5,arctic-monkeys_do-i-wanna-know
43,4,2,clairo_pretty-girl
44,6,3,girl-in-red_girls
45,8,4,shinedown_simple-man
46,7,5,family-of-the-year_hero
47,10,6,twenty-one-pilots_the-judge
48,10,7,arctic-monkeys_arabella
49,6,3,the-1975_robbers
50,7,4,harry-styles_ever-since-new-york
51,9,5,taylor-swift_mean
52,14,7,taylor-swift_never-grow-up
53,11,7,kodaline_brother
54,8,5,peach-pit_tommys-party
55,9,6,james-bay_us
56,8,5,michael-w-smith_waymaker
57,7,4,two-door-cinema-club_what-you-know
58,7,4,foo-fighters_walk
59,10,4,grouplove_tongue-tied
60,5,4,peach-pit_alrighty-aphrodite
61,6,4,natalia-lafourcade_lo-que-construimos
62,7,6,cavetown_meteor-shower
63,10,7,harry-styles_she
64,10,6,imagine-dragons_its-time
65,9,5,phillip-phillips_gone-gone-gone
66,5,3,mac-demarco_my-kind-of-woman
67,6,5,mitski_washing-machine-heart
68,11,6,weyes-blood_andromeda
69,10,6,niall-horan_put-a-little-love-on-me
70,10,6,harry-styles_to-be-so-lonely
71,9,6,chris-cornell_like-a-stone
72,8,4,lilly-wood-the-prick_prayer-in-c
73,4,2,eddie-vedder_tonight-you-belong-to-me
74,8,4,one-direction_perfect
75,6,4,onerepublic_i-lived
76,9,6,cage-the-elephant_telescope
77,4,2,the-kooks_taking-pictures-of-you
78,9,5,green-day_ordinary-world
79,8,5,chet-faker_talk-is-cheap
80,7,4,rex-orange-county_sunflower
81,11,3,aaron-lewis_travelin-soldier
82,9,5,jack-stauber_buttercup
83,10,6,the-lumineers_gloria
84,10,7,cage-the-elephant_trouble
85,7,3,taylor-swift_better-than-revenge
86,8,5,ruelle_i-get-to-love-you
87,5,3,fun-_some-nights
88,7,4,alt-j_breezeblocks
89,7,5,brandi-carlile_the-joke
90,11,6,u2_summer-of-love
91,8,6,men-i-trust_show-me-how
92,6,3,cavetown_juliet
93,7,4,dayglow_can-i-call-you-tonight
94,7,6,pamungkas_to-the-bone
95,7,4,birdy_skinny-love
96,11,5,seiler-und-speer_ham-kummst
97,6,5,mac-demarco_chamber-of-reflection
98,10,5,onerepublic_counting-stars
99,10,6,plain-white-ts_rhythm-of-love
100,3,2,die-toten-hosen_tage-wie-diese
101,7,3,the-new-basement-tapes_kansas-city
102,5,3,arctic-monkeys_i-wanna-be-yours
103,8,4,big-thief_shark-smile
104,10,6,sunrise-avenue_hollywood-hills
105,9,5,imagine-dragons_whatever-it-takes
106,10,4,rend-collective_build-your-kingdom-here
107,8,2,alt-j_left-hand-free
108,7,5,manchester-orchestra_the-silence
109,8,4,hozier_angel-of-small-death-and-the-codeine-scene
110,10,6,louis-tomlinson_two-of-us
111,5,3,sir-chloe_animal
112,7,5,harry-styles_fine-line
113,11,8,harry-styles_sunflower-vol-6
114,10,6,the-neighbourhood_sweater-weather
115,4,2,tom-odell_heal
116,7,4,cage-the-elephant_cigarette-daydreams
117,9,6,lady-gaga_joanne
118,6,5,taylor-swift_state-of-grace
