0,1,2,3,4,Decade
progressive rock,psychedelic rock,classic rock,rock,,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
progressive rock,psychedelic rock,psychedelic,classic rock,rock,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
progressive rock,classic rock,rock,psychedelic rock,pink floyd,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
rock,queen,backyard,4 of 10 stars,,1970
classic rock,rock,queen,70s,,1970
classic rock,rock,queen,80s,70s,1970
classic rock,rock,hard rock,glam rock,80s,1970
classic rock,rock,70s,queen,glam rock,1970
classic rock,70s,rock,queen,british,1970
classic rock,rock,70s,queen,,1970
classic rock,rock,70s,queen,love,1970
classic rock,rock,queen,70s,british,1970
classic rock,rock,queen,70s,,1970
classic rock,rock,queen,70s,80s,1970
hard rock,rock,classic rock,,,1970
70s,classic rock,pop,funk,,1970
pinoy am fm radio,,,,,1970
beautiful,memories,,,,1970
classic rock,70s,rock,rod stewart,,1970
classic rock,rock,soft rock,ballad,,1970
soft rock,pop,70s,classic rock,,1970
classic rock,rock,latin,santana,guitar,1970
folk,classic rock,60s,singer-songwriter,acoustic,1970
folk,classic rock,60s,singer-songwriter,acoustic,1970
folk,classic rock,60s,singer-songwriter,acoustic,1970
folk,classic rock,60s,singer-songwriter,acoustic,1970
70s,classic rock,oldies,rock,smokie,1970
classic rock,70s,rock,soundtrack,oldies,1970
classic rock,70s,rock,steve miller band,,1970
classic rock,70s,progressive rock,rock,supertramp,1970
new wave,80s,post-punk,rock,alternative,1970
southern rock,classic rock,70s,blues rock,rock,1970
classic rock,60s,the beatles,rock,british,1970
classic rock,rock,60s,pop,,1970
rock,classic rock,60s,the beatles,pop,1970
classic rock,60s,rock,the beatles,pop,1970
classic rock,rock,60s,pop,the beatles,1970
classic rock,rock,the beatles,60s,british,1970
rock,alternative,cure,bittersweet,,1970
classic rock,70s,rock,southern rock,,1970
classic rock,psychedelic rock,rock,60s,psychedelic,1970
classic rock,60s,rock,british,oldies,1970
classic rock,60s,rock,british,70s,1970
southern rock,classic rock,country rock,rock,70s,1970
rock,80s,classic rock,new wave,pop,1970
rock,classic rock,80s,new wave,the police,1970
classic rock,rock,70s,the rolling stones,ballad,1970
classic rock,rock,70s,the rolling stones,blues,1970
classic rock,rock,60s,the rolling stones,,1970
classic rock,rock,blues,70s,,1970
classic rock,rock,70s,the rolling stones,british,1970
classic rock,rock,psychedelic,60s,proto-punk,1970
classic rock,rock,70s,british,,1970
singer-songwriter,folk,acoustic,beautiful,folk rock,1970
classic rock,rock,80s,american,,1970
classic rock,80s,rock,pop,toto,1970
classic rock,70s,rock,hard rock,progressive rock,1970
classic rock,singer-songwriter,van morrison,rock,folk,1970
jazz,classic rock,singer-songwriter,70s,rock,1970
classic rock,blues rock,rock,southern rock,70s,1970
pop,80s,disco,abba,swedish,1970
country,kenny rogers,classic country,70s,,1970
country,folk,singer-songwriter,acoustic,john denver,1970
folk,singer-songwriter,classic rock,folk rock,60s,1970
country,female vocalists,classic country,folk,,1970
