0,1,2,3,4,Decade
pop,80s,madonna,dance,female vocalists,1980
80s,classic rock,rock,journey,love,1980
80s,pop,female vocalists,cyndi lauper,,1980
jazz,swing,oldies,christmas,crooners,1980
80s,new wave,synthpop,pop,synth pop,1980
rock,lovesongs,memorable,weekend mornings,,1980
80s,new wave,rock,british,,1980
80s,pop,soft rock,phil collins,rock,1980
folk,female vocalists,acoustic,singer-songwriter,,1980
classic rock,80s,rock,george harrison,pop,1980
pop,80s,michael jackson,soul,,1980
classic rock,john lennon,rock,80s,singer-songwriter,1980
80s,rock,classic rock,glam rock,david bowie,1980
80s,new wave,rock,billy idol,,1980
country,80s,female vocalists,pop,,1980
alternative rock,rock,alternative,grunge,hard rock,1980
country,keith whitley,classic country,love,,1980
rock,classic rock,queen,80s,,1980
country,keith whitley,classic country,male country,,1980
classic rock,80s,rock,female vocalists,stevie nicks,1980
80s,classic rock,pop,rock,fleetwood mac,1980
pop,80s,michael jackson,dance,,1980
soul,funk,female vocalists,80s,rnb,1980
hard rock,80s,hair metal,rock,metal,1980
80s,indie,new wave,alternative,the smiths,1980
80s,rock,alternative,,,1980
flamenco,spanish,latin,gipsy kings,spanish guitar,1980
country,americana,alt-country,singer-songwriter,steve earle,1980
,,,,,1980
80s,new wave,pop,rock,duran duran,1980
soul,jazz,female vocalists,80s,sade,1980
hard rock,rock,classic rock,80s,guns n roses,1980
80s,rock,hard rock,classic rock,van halen,1980
female vocalists,folk,singer-songwriter,soul,acoustic,1980
pop,80s,michael jackson,dance,king of pop,1980
80s,new wave,indie,alternative,rock,1980
sting,rock,soft rock,pop,singer-songwriter,1980
blues,blues rock,guitar,classic rock,rock,1980
classic rock,rock,80s,queen,pop,1980
christmas,christmas songs,xmas,pop,,1980
female vocalists,singer-songwriter,alternative,pop,80s,1980
new wave,post-punk,80s,alternative,the cure,1980
classic rock,rock,80s,singer-songwriter,pop,1980
80s,pop,rock,billy joel,classic rock,1980
80s,new wave,pop,tears for fears,,1980
christmas,80s,new wave,holiday,,1980
singer-songwriter,folk,indie,alternative,,1980
80s,pop,rock,australian,,1980
heavy metal,80s,,,,1980
80s,pop,happy,new wave,,1980
80s,classic rock,rock,soft rock,reo speedwagon,1980
80s,soundtrack,pop,rock,,1980
rock,80s,classic rock,pop,bryan adams,1980
new wave,80s,post-punk,alternative,rock,1980
80s,new wave,pop,donnie darko,,1980
soft rock,70s,singer-songwriter,dan fogelberg,mellow,1980
reggae,bob marley,roots reggae,jamaica,,1980
folk,country,,,,1980
progressive rock,rock,classic rock,pink floyd,psychedelic rock,1980
classic rock,rock,blues rock,southern rock,80s,1980
folk,singer-songwriter,classic rock,acoustic,rock,1980
80s,rock,australian,classic rock,,1980
80s,classic rock,rock,female vocalists,,1980
new wave,80s,pop,rock,,1980
indie,post-punk,80s,new wave,alternative,1980
90s,alternative rock,rock,alternative,,1980
80s,pop,new wave,female vocalists,eurythmics,1980
christmas,60s,xmas,oldies,,1980
singer-songwriter,leonard cohen,folk,rock,,1980
classic rock,rock,hard rock,ballad,80s,1980
80s,pop,classic rock,singer-songwriter,folk,1980
pop,disco,70s,abba,swedish,1980
classic rock,80s,rock,journey,ballad,1980
80s,funk,pop,prince,dance,1980
soul,rnb,chilled,summer,80's,1980
hindi,,,,,1980
classic rock,tom petty,rock,80s,,1980
country,keith whitley,classic country,,,1980
classic rock,rock,singer-songwriter,,,1980
thrash metal,metal,heavy metal,metallica,rock,1980
country,you look so good in love,classic country,george strait,,1980
classic rock,rock,singer-songwriter,british,pop,1980
classic rock,rock,80s,,,1980
classic rock,blues rock,psychedelic,rock,,1980
80s,new wave,pop,rock,,1980
80s,rock,new wave,classic rock,,1980
1984,,,,,1980
opm,pop,,,,1980
spanish,80s,pop,mecano,spanish pop,1980
funk,soul,disco,70s,80s,1980
pop,soundtrack,female vocalists,top 40,,1980
christmas,jazzysxmas,,,,1980
pop,abba,80s,disco,,1980
classic rock,,,,,1980
canadian,folk,a cappella,,,1980
80s,classic rock,rock,pop,,1980
blues,rock,classic rock,blues rock,guitar,1980
female vocalists,80s,pop,singer-songwriter,folk,1980
classic rock,rock,80s,dire straits,,1980
post-punk,new wave,80s,alternative,indie,1980
,,,,,1980
pop,80s,female vocalists,soul,whitney houston,1980
80s,new wave,pop,synth pop,,1980
french,chanson francaise,chanson,ballad,,1980
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1980
rock,80s,aussie,,,1980
80s,pop,romantic,soft rock,love songs,1980
rock,u2,classic rock,80s,,1980
80s,rock,classic rock,pop,new wave,1980
hard rock,glam metal,hair metal,80s,rock,1980
rock,blues rock,classic rock,80s,blues,1980
indie,post-punk,80s,new wave,alternative,1980
melancholy,sad,indie,80s,alternative,1980
,,,,,1980
pop,80s,oldies,summer,classic rock,1980
80s,funk,pop,rock,prince,1980
italian,pop,80s,italian pop,toto cutugno,1980
80s,classic rock,soft rock,rock,pop,1980
80s,rock,female vocalists,new wave,classic rock,1980
country,,,,,1980
80s,love songs,it might be you,,,1980
classic rock,rock,80s,dire straits,,1980
rock,classic rock,80s,singer-songwriter,,1980
country,classic country,kenny rogers,male vocalists,,1980
80s,pop,prince,funk,rock,1980
classic rock,rock,queen,80s,british,1980
reggae,80s,pop,british,,1980
classic rock,female vocalists,80s,stevie nicks,fleetwood mac,1980
singer-songwriter,folk,acoustic,james taylor,,1980
classic rock,80s,rock,soft rock,reo speedwagon,1980
country,female vocalists,,,,1980
80s,pop,new wave,new romantic,,1980
80s,new wave,rock,pop,australian,1980
80s,pop,synthpop,new wave,,1980
new wave,post-punk,80s,alternative,rock,1980
pop,80s,british,new wave,dance,1980
hard rock,rock,classic rock,80s,guns n roses,1980
80s,new wave,synthpop,pop,,1980
punk,punk rock,70s,classic rock,rock,1980
singer-songwriter,folk,80s,alternative,british,1980
blues,blues rock,rhythm and blues,soundtrack,,1980
singer-songwriter,classic rock,rock,folk,pop,1980
country,george strait,classic country,,,1980
80s,new wave,british,rock,,1980
country,female vocalists,folk,singer-songwriter,bluegrass,1980
opm,philippines,pop,pinoy music,,1980
classic rock,80s,rock,boston,rock ballads,1980
classic rock,singer-songwriter,rock,pop,piano,1980
australian,rock,80s,aussie,australia,1980
hard rock,classic rock,rock,heavy metal,australian artist,1980
rock,classic rock,u2,dvd soundtrack,,1980
country,randy travis,classic country,deeper than the holler,,1980
rock,80s,classic rock,bruce springsteen,,1980
80s,hard rock,classic rock,rock ballads,rock,1980
pop,80s,michael jackson,dance,,1980
80s,pop,female vocalists,soundtrack,,1980
soul,stevie wonder,rb,motown,,1980
80s,female vocalists,soft rock,pop,country,1980
pop,80s,whitney houston,love,female vocalists,1980
rock,80s,classic rock,singer-songwriter,australian,1980
classic rock,80s,hard rock,journey,,1980
folk - celtic,,,,,1980
country,singer-songwriter,,,,1980
80s,new wave,post-punk,alternative,rock,1980
80s,pop,phil collins,easy listening,rock,1980
classic rock,rock,80s,queen,,1980
irish,ballads,,,,1980
rock,classic rock,80s,singer-songwriter,bruce springsteen,1980
80s,indie,alternative,british,morrissey,1980
,,,,,1980
rock,80s,classic rock,pop,male vocalists,1980
classic rock,singer-songwriter,rock,pop,piano,1980
80s,new wave,rock,female vocalists,pop,1980
80s,soft rock,romantic,pop,love,1980
blues,rhythm and blues,soundtrack,rock,,1980
80s,rock,female vocalists,new wave,classic rock,1980
pop,80s,,,,1980
hard rock,rock,80s,classic rock,hair metal,1980
christmas,xmas,,,,1980
80s,pop,soundtrack,dance,,1980
country,best,randy travis,classic country,,1980
christmas,xmas,,,,1980
rock,hard rock,80s,classic rock,bon jovi,1980
reggae,80s,pop,ub40,,1980
new wave,post-punk,80s,rock,alternative,1980
80s,new wave,pop,classic rock,,1980
thrash metal,metal,heavy metal,metallica,,1980
rock,classic rock,80s,queen,british,1980
classic rock,80s,rock,john mellencamp,singer-songwriter,1980
hard rock,classic rock,rock,80s,heavy metal,1980
irish,folk,punk,folk rock,celtic,1980
80s,electronic,new wave,synth pop,depeche mode,1980
heavy metal,hard rock,metal,classic rock,dio,1980
classic rock,folk rock,rock,folk,60s,1980
singer-songwriter,rock,piano,john hiatt,80s,1980
80s,new wave,synthpop,pop,,1980
80s,20th century,1984,rock,,1980
baby beluga,rhymes,feel good,timeless,,1980
soundtrack,80s,labyrinth,david bowie,rock,1980
rock,u2,80s,irish,classic rock,1980
blues,blues rock,rock,acoustic,,1980
80s,pop,female vocalists,rock,,1980
soft-rock,,,,,1980
rock,classic rock,hard rock,queen,80s,1980
country,george strait,classic country,traditional country,,1980
80s,rock,classic rock,new wave,pop,1980
female vocalists,80s,pop,easy listening,love,1980
80s,disco,pop,dance,modern talking,1980
80s,rock,new wave,punk,,1980
singer-songwriter,blues,rock,tom waits,alternative,1980
80s,pop,soul,simply red,british,1980
80s,rock,classic rock,female vocalists,,1980
80s,good times,one hit wonder,linedance,frontloader,1980
cabaret,comedy,dutch,folk,,1980
,,,,,1980
austropop,austrian,deutsch,rainhard fendrich,,1980
hard rock,rock,classic rock,80s,guns n roses,1980
pop,80s,rock,classic rock,soft rock,1980
spanish,pop,80s,soundtrack,spanish pop,1980
thrash metal,metal,heavy metal,metallica,,1980
country,classic country,don williams,love,,1980
folk,rock,classic rock,folk rock,,1980
80s,classic rock,rock,,,1980
scottish,80s,folk,,,1980
country,romantic,love,kenny rogers,lady,1980
new wave,80s,hippo mix,,,1980
new wave,80s,synthpop,pop,dance,1980
classic rock,hard rock,rock,deep purple,,1980
80s,classic rock,power ballad,rock,love songs,1980
,,,,,1980
pop,singer-songwriter,folk,80s,rock,1980
classic rock,rock,80s,golden earring,,1980
pop,whitney houston,80s,female vocalists,romantic,1980
80s,soul,pop,romantic,lovesongs,1980
80s,new wave,pop,new romantic,,1980
hard rock,80s,rock,tesla,classic rock,1980
classic rock,80s,rock,blues,,1980
80s,pop,romantic,love,soft rock,1980
80s,female vocalists,rock,pop,classic rock,1980
80s,pop,classic rock,,,1980
soul,singer-songwriter,,,,1980
dutch,choir,pop,,,1980
australian,80s,singer-songwriter,emo,,1980
,,,,,1980
,,,,,1980
hard rock,rock,classic rock,80s,guns n roses,1980
blues,classic rock,blues rock,eric clapton,,1980
rock,80s,,,,1980
rock,cover,9 of 10 stars,8 of 10 stars,,1980
80s,new wave,post-punk,alternative,rock,1980
love,austro,,,,1980
post-punk,indie,new wave,80s,alternative,1980
hard rock,classic rock,rock,heavy metal,australian artist,1980
christmas,holiday,seasonal,male vocalist,,1980
classic rock,rock,80s,the rolling stones,british,1980
blues,rock,blues rock,classic rock,guitar,1980
80s,soul,pop,funk,,1980
new wave,80s,synthpop,electronic,depeche mode,1980
classic rock,rock,80s,pop,singer-songwriter,1980
classic rock,rock,80s,pete townshend,the who,1980
singer-songwriter,blues,tom waits,rock,alternative,1980
80s,rock,progressive rock,peter gabriel,pop,1980
rock,80s,australian,great stuff,australian rock,1980
80s,rock,classic rock,power ballad,pop,1980
,,,,,1980
french,chanson francaise,pop,singer-songwriter,rock,1980
,,,,,1980
80s,soundtrack,,,,1980
,,,,,1980
contemporary praise and worship,christian,,,,1980
metal,heavy metal,rock,ballad,metallica,1990
rock,alternative rock,90s,female vocalists,alternative,1990
rock,classic rock,hard rock,90s,aerosmith,1990
rock,classic rock,90s,,,1990
love,rock,classic rock,soundtrack,,1990
rock,female vocalists,90s,alternative,pop,1990
rock,female vocalists,90s,alternative,pop,1990
rock,90s,female vocalists,alternative,alternative rock,1990
grunge,rock,90s,alice in chains,,1990
grunge,rock,90s,alternative,,1990
female vocalists,pop,singer-songwriter,new zealand,,1990
90s,rock,alternative,grunge,alternative rock,1990
punk rock,pop punk,punk,rock,alternative,1990
punk rock,pop punk,punk,rock,alternative,1990
punk rock,pop punk,punk,rock,alternative,1990
britpop,rock,indie,british,alternative,1990
folk,singer-songwriter,sad,melancholy,,1990
rock,classic rock,ballad,love songs,bon jovi,1990
rock,bon jovi,classic rock,80s,ballad,1990
blues,pop,female vocalists,classic rock,chillout,1990
classic rock,rock,love songs,ballad,,1990
grunge,90s,rock,alternative rock,alternative,1990
cover,alternative,rock,90s,covers,1990
90s,alternative rock,rock,alternative,mellow,1990
90s,counting crows,rock,alternative,alternative rock,1990
rock,90s,alternative,counting crows,alternative rock,1990
acoustic,singer-songwriter,mellow,rock,pop,1990
singer-songwriter,mellow,acoustic,rock,david gray,1990
rock,alternative rock,90s,pop,alternative,1990
80s,pop,new wave,british,,1990
80s,new wave,pop,90s,rock,1990
rock,pop,alternative,singer-songwriter,swedish,1990
classic rock,rock,eagles,70s,soft rock,1990
rock,singer-songwriter,alternative,acoustic,pop,1990
singer-songwriter,folk,indie,acoustic,indie rock,1990
soundtrack,love,ballad,singer-songwriter,rock,1990
opm,pinoy,baroque rock,,,1990
opm,90s,eraserheads,,,1990
classic rock,blues,rock,90s,guitar,1990
classic rock,blues,acoustic,guitar,rock,1990
acoustic,ballad,rock,90s,classic rock,1990
cover,rock,90s,alternative rock,alternative,1990
90s,rock,alternative,alternative rock,pop,1990
irish,folk,punk,irish punk,celtic,1990
rock,alternative rock,90s,alternative,foo fighters,1990
rock,alternative rock,90s,alternative,foo fighters,1990
rock,alternative rock,grunge,foo fighters,alternative,1990
rock,alternative rock,grunge,alternative,foo fighters,1990
pop,rock,britpop,soft rock,german,1990
blues,blues rock,classic rock,guitar,rock,1990
classic rock,rock,singer-songwriter,british,pop,1990
rock,alternative rock,90s,alternative,love,1990
punk rock,punk,rock,90s,green day,1990
punk rock,rock,punk,pop punk,alternative,1990
4 stars,,,,,1990
hard rock,rock,classic rock,80s,guns n roses,1990
hard rock,rock,classic rock,80s,guns n roses,1990
,,,,,1990
,,,,,1990
,,,,,1990
alternative rock,rock,alternative,indie,incubus,1990
beautiful,cover,acoustic,singer-songwriter,rock,1990
rock,singer-songwriter,melancholy,mellow,beautiful,1990
singer-songwriter,rock,alternative,folk,indie,1990
female vocalists,90s,rock,singer-songwriter,pop,1990
80s,easy listening,pop,folk,waltz,1990
rock,alternative rock,90s,alternative,live,1990
country,lonestar,love songs,amazed,,1990
latin,reggae,spanish,manu chao,world,1990
singer-songwriter,rock,pop,90s,marc cohn,1990
90s,rock,alternative,alternative rock,grunge,1990
rock,90s,alternative,alternative rock,pop,1990
lush,female vocalists,dream pop,mellow,alternative,1990
metal,heavy metal,thrash metal,metallica,rock,1990
metal,heavy metal,cover,metallica,hard rock,1990
metal,heavy metal,hard rock,cover,rock,1990
pop,michael jackson,90s,king of pop,,1990
hard rock,rock,classic rock,80s,hair metal,1990
alternative rock,rock,muse,alternative,beautiful,1990
pop,female vocalists,90s,australian,rock,1990
classic rock,singer-songwriter,neil young,folk,rock,1990
indie,folk,indie rock,beautiful,lo-fi,1990
indie,acoustic,lo-fi,folk,indie rock,1990
indie,indie rock,lo-fi,folk,,1990
industrial,industrial rock,rock,alternative,sad,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,alternative,alternative rock,90s,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,acoustic,alternative,nirvana,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,alternative,alternative rock,nirvana,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,90s,alternative,nirvana,1990
grunge,rock,alternative,90s,nirvana,1990
grunge,rock,alternative,90s,nirvana,1990
grunge,rock,cover,nirvana,alternative,1990
rock,ska,pop,alternative,female vocalists,1990
britpop,rock,90s,british,oasis,1990
britpop,rock,90s,british,alternative,1990
britpop,rock,british,alternative rock,,1990
rock,oasis,britpop,alternative,,1990
britpop,rock,acoustic,british,oasis,1990
britpop,rock,90s,british,oasis,1990
britpop,rock,british,oasis,acoustic,1990
brothers,,,,,1990
britpop,rock,british,oasis,indie,1990
britpop,rock,90s,british,oasis,1990
britpop,rock,british,90s,oasis,1990
britpop,acoustic,rock,british,oasis,1990
britpop,rock,british,oasis,90s,1990
britpop,rock,90s,alternative,oasis,1990
metal,,,,,1990
opm,pinoy pop rock,,,,1990
grunge,90s,rock,alternative rock,pearl jam,1990
grunge,rock,alternative rock,90s,pearl jam,1990
grunge,90s,rock,pearl jam,alternative,1990
grunge,rock,alternative rock,90s,pearl jam,1990
pop,80s,rock,classic rock,soft rock,1990
britpop,90s,british,indie,rock,1990
classic rock,rock,queen,80s,hard rock,1990
,,,,,1990
,,,,,1990
,,,,,1990
,,,,,1990
alternative,alternative rock,rock,indie,radiohead,1990
alternative,rock,alternative rock,indie,electronic,1990
alternative,alternative rock,rock,90s,radiohead,1990
alternative,alternative rock,rock,90s,radiohead,1990
alternative,alternative rock,rock,90s,radiohead,1990
alternative,alternative rock,rock,indie,radiohead,1990
alternative,alternative rock,rock,radiohead,beautiful,1990
alternative,alternative rock,rock,indie,radiohead,1990
alternative,alternative rock,radiohead,rock,indie,1990
alternative rock,alternative,rock,indie,radiohead,1990
alternative rock,great,great video,radioultra,rock,1990
rock,alternative rock,alternative,red hot chili peppers,funk,1990
rock,alternative rock,alternative,red hot chili peppers,funk,1990
rock,alternative rock,alternative,funk,red hot chili peppers,1990
rock,alternative,alternative rock,90s,red hot chili peppers,1990
opm,alternative,love,90s,,1990
opm,rock,love,pop,,1990
pop,britpop,british,rock,robbie williams,1990
happy,alternative,90s,summer,rusted root,1990
rock,latin,latin rock,guitar,classic rock,1990
classic rock,rock,80s,hard rock,scorpions,1990
90s,rock,alternative,alternative rock,,1990
female vocalists,rock,90s,singer-songwriter,pop,1990
90s,alternative rock,rock,pop,sister hazel,1990
pop,90s,female vocalists,love,rock,1990
rock,90s,alternative,pop,soundtrack,1990
christian,worship,contemporary christian,praise and worship,,1990
christian,praise and worship,open the eyes of my heart,christian rock,,1990
grunge,90s,rock,alternative rock,alternative,1990
sting,pop,soft rock,rock,90s,1990
rock,sting,classic rock,pop,singer-songwriter,1990
grunge,90s,alternative rock,rock,alternative,1990
grunge,90s,rock,alternative rock,alternative,1990
ska,reggae,sublime,90s,,1990
ska,reggae,90s,rock,sublime,1990
ska,90s,rock,alternative,reggae,1990
rock,comedy,alternative rock,funny,tenacious d,1990
rock,southern rock,blues rock,90s,classic rock,1990
pop,90s,female vocalists,rock,,1990
rock,90s,alternative,indie,pop,1990
rock,90s,alternative,female vocalists,irish,1990
rock,90s,alternative,irish,female vocalists,1990
rock,alternative,90s,alternative rock,female vocalists,1990
new wave,post-punk,80s,alternative,rock,1990
irish,folk,irish folk,celtic,,1990
britpop,british,indie,rock,90s,1990
punk rock,punk,rock,90s,alternative,1990
punk rock,punk,rock,alternative rock,alternative,1990
90s,90's,,,,1990
alternative rock,90s,rock,alternative,grunge,1990
alternative rock,rock,90s,alternative,grunge,1990
rock,alternative,alternative rock,90s,grunge,1990
alternative rock,rock,grunge,alternative,90s,1990
rock,canadian,holy amazing canadian music,,,1990
britpop,90s,alternative,rock,indie,1990
britpop,rock,90s,alternative,indie,1990
britpop,british,makes me cry,alternative rock,melancholy,1990
90s,rock,alternative rock,alternative,,1990
alternative rock,rock,alternative,90s,,1990
alternative rock,90s,rock,alternative,suicide,1990
rock,alternative,alternative rock,90s,summer,1990
rock,classic rock,folk,acoustic,,1990
classic rock,rock,singer-songwriter,folk,80s,1990
classic rock,rock,90s,tom petty,singer-songwriter,1990
classic rock,rock,80s,singer-songwriter,folk,1990
90s,alternative rock,rock,alternative,,1990
blues,female vocalists,folk,singer-songwriter,90s,1990
rock,u2,classic rock,90s,pop,1990
rock,90s,alternative rock,alternative,weezer,1990
indie rock,blues,punk,,,1990
alternative rock,rock,alternative,indie,indie rock,1990
french,chanson francaise,chanson française,alain souchon,,1990
pop,90s,backstreet boys,boybands,,1990
pop,90s,backstreet boys,boybands,,1990
female vocalists,blues,country,rock,90s,1990
pop,dance,britney spears,female vocalists,sexy,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,female vocalists,canadian,90s,celine dion,1990
pop,dance,90s,female vocalists,cher,1990
pop,disney,soundtrack,mulan,ballad,1990
rnb,pop,female vocalists,soul,hip-hop,1990
pop,female vocalists,chillout,dido,british,1990
french,chanson francaise,90s,francais,,1990
dutch,pop,nederlandstalig,nederpop,carnaval,1990
90s,dance,eurodance,pop,disco,1990
90s,pop,happy,hanson,,1990
schlager,deutsch,,,,1990
historia de un amor,latin,,,,1990
christmas,pop,xmas,mariah carey,,1990
female vocalists,divas,pop,soul,,1990
pop,michael jackson,90s,80s,,1990
pop,michael jackson,90s,ballad,soul,1990
christian,worship,contemporary christian,michael w smith,pop,1990
soundtrack,disney,phil collins,pop,,1990
pop,robbie williams,britpop,british,rock,1990
soft rock,80s,pop,love songs,rock,1990
pop,love,ronan keating,90s,soundtrack,1990
pop,90s,love,love songs,savage garden,1990
pop,90s,love,romantic,savage garden,1990
pop,90s,dance,female vocalists,spice girls,1990
rock,pop,,,,1990
pop,90s,british,boybands,,1990
pop,irish,female vocalists,folk,the corrs,1990
rnb,90s,pop,female vocalists,hip-hop,1990
love songs,love,toni braxton,sad,,1990
rock,classic rock,irish,alternative,pop,1990
singer-songwriter,classic rock,van morrison,rock,,1990
love songs,westlife,pop,cover,,1990
pop,90s,love,soundtrack,ballad,1990
pop,soul,female vocalists,whitney houston,rnb,1990
female vocalists,pop,love,soundtrack,ballad,1990
hip-hop,soul,90s,rnb,rap,1990
singer-songwriter,piano,soundtrack,pop,rock,1990
folk,irish,irish folk,celtic,christmas,1990
acoustic,indie,singer-songwriter,mellow,beautiful,1990
country,pop,female vocalists,canadian,shania twain,1990
christmas,,,,,1990
pop,90s,soul,ballad,soundtrack,1990
holiday,,,,,1990
christmas,christmas music,,,,1990
metal,heavy metal,thrash metal,metallica,rock,1990
christmas,yule,christmas 2008,,,1990
country,garth brooks,friends in low places,90s,,1990
acoustic,singer-songwriter,indie,mellow,,1990
,,,,,1990
country,classic country,folk,highwayman,,1990
electronic,80s,new wave,synth pop,depeche mode,1990
indie,indie rock,alternative,british,rock,1990
christian,worship,praise,pop,,1990
christmas,,,,,1990
90s,rock,alternative,alternative rock,grunge,1990
female vocalists,acoustic,folk,beautiful,cover,1990
rap,hip-hop,90s,hip hop,west coast rap,1990
metal,heavy metal,thrash metal,metallica,rock,1990
gospel,holiday,christmas,easy listening,,1990
christmas,country christmas,country,,,1990
folk,singer-songwriter,classic rock,folk rock,rock,1990
christmas,folk,australian,awesome,,1990
country,country rock,90s,rock,,1990
rock,alternative rock,alternative,funk,90s,1990
worship,christian,contemporary christian,praise,,1990
post-punk,rock,alternative,singer-songwriter,alternative rock,1990
female vocalists,piano,alternative,singer-songwriter,fiona apple,1990
country,garth brooks,90s,singer-songwriter,,1990
rock,norwegian,,,,1990
soundtrack,90s,pop,disney,,1990
alternative,rock,alternative rock,britpop,coldplay,1990
folk,country,friday,duets,,1990
christian,worship,praise,pop,,1990
grunge,rock,alternative,90s,,1990
rnb,90s,hip-hop,blackstreet,hip hop,1990
christmas,country,alt-country,folk,,1990
pavement,indie rock,,,,1990
country,garth brooks,90s,country rock,,1990
rock,90s,alternative rock,lenny kravitz,,1990
hard rock,classic rock,rock,heavy metal,australian artist,1990
shoegaze,dream pop,indie,alternative,,1990
christmas,,,,,1990
female vocalists,folk,90s,jewel,pop,1990
christmas,freedom,,,,1990
classic rock,rock,90s,tom petty,,1990
female vocalists,folk,jazz,eva cassidy,mellow,1990
christian,worship,christian worship,praise,praise & worship,1990
post-hardcore,punk,hardcore,indie,,1990
pop,rock,90s,ballad,filipino,1990
classic rock,rock,british,90s,the beatles,1990
indie,acoustic,singer-songwriter,folk,mellow,1990
punk rock,pop punk,punk,rock,alternative,1990
folk rock,90s,1993,the band,loved at first listen,1990
rock,female vocalists,90s,alternative,pop,1990
funk,acid jazz,90s,dance,pop,1990
rock,ballad,bryan adams,romantic,love,1990
hip-hop,rap,gangsta rap,west coast,hip hop,1990
,,,,,1990
90s,rnb,pop,soul,tlc,1990
rock,classic rock,90s,tom petty,,1990
christmas,rb,,,,1990
heavy metal,metal,iron maiden,nwobhm,,1990
rock,britpop,90s,alternative,indie,1990
,,,,,1990
alternative,experimental,fun,rock,indie,1990
acoustic,indie,singer-songwriter,melancholy,folk,1990
grunge,rock,90s,alternative rock,pearl jam,1990
tagalog songs,christmas tagalog,,,,1990
rock,alternative,90s,alternative rock,blind melon,1990
blues rock,blues,rock,guitar,classic rock,1990
rock,alternative rock,alternative,90s,red hot chili peppers,1990
punk rock,rock,punk,90s,green day,1990
rock,southern rock,90s,hard rock,classic rock,1990
soul,female vocalists,rnb,pop,,1990
christian,worship,praise,pop,,1990
rock,alternative,alternative rock,funk rock,red hot chili peppers,1990
mercyme,praise  worship,christian,inspirational,favorite tracks,1990
everlast,songs i sing along to in the car when no ones around,rock,alternative,,1990
grunge,rock,90s,alternative,pearl jam,1990
punk rock,punk,rock,green day,90s,1990
country,female vocalists,dixie chicks,90s,,1990
metal,,,,,1990
britpop,90s,indie,rock,alternative,1990
folk,rock,the kelly family,angel,,1990
alternative rock,90s,rock,alternative,acoustic,1990
pop,nostalgic,aamuzikwesome,hummable,indie pop classic,1990
country,female vocalists,strawberry wine,love,,1990
metal,heavy metal,hard rock,rock,metallica,1990
grunge,90s,female vocalists,rock,alternative,1990
grunge,rock,alternative rock,alternative,,1990
rock,classic rock,80s,pop,canadian,1990
britpop,rock,british,90s,oasis,1990
latin,cuban,jazz,buena vista social club,cuba,1990
power metal,speed metal,heavy metal,symphonic metal,metal,1990
rock,alternative,female vocalists,90s,irish,1990
grunge,rock,alternative rock,90s,pearl jam,1990
female vocalists,folk,singer-songwriter,acoustic,jazz,1990
hard rock,rock,classic rock,80s,guns n roses,1990
kerst,,,,,1990
rock,90s,alternative rock,alternative,funk rock,1990
rock,alternative,opm,ost,pinoy rock,1990
love,singer-songwriter,acoustic,david gray,mellow,1990
canadian,alt-country,country,folk,rock,1990
french,chanson francaise,rock,rock francais,,1990
pop,rock,britpop,robbie williams,,1990
rock,hard rock,classic rock,80s,def leppard,1990
90s,rock,alternative rock,alternative,pop,1990
rock,alternative rock,alternative,indie,placebo,1990
country,,,,,1990
female vocalists,alternative,90s,singer-songwriter,piano,1990
country,john anderson,seminole wind,90s,,1990
rock,alternative rock,creed,alternative,grunge,1990
christmas,country christmas,,,,1990
worship and praise,,,,,1990
horror punk,punk rock,punk,,,1990
90s,alternative,rock,alternative rock,everclear,1990
rock,classic rock,90s,soundtrack,singer-songwriter,1990
christmas,,,,,1990
female vocalists,piano,pop,singer-songwriter,sarah mclachlan,1990
pop,mariah carey,female vocalists,soul,love,1990
alternative rock,rock,alternative,90s,comedy,1990
rnb,soul,hip-hop,rap,hip hop,1990
country,folk,singer-songwriter,classic rock,,1990
pop,90s,dance,eurodance,,1990
acoustic,blues,ben harper,folk,singer-songwriter,1990
country,david lee murphy,,,,1990
,,,,,1990
1998,love,folk,soul,,1990
blues rock,90s,rock,harmonica,blues,1990
grunge,90s,rock,alternative rock,alternative,1990
rock,irish,female vocalists,alternative,90s,1990
cover,rock n roll,,,,1990
female vocalists,folk,eva cassidy,beautiful,jazz,1990
,,,,,1990
rnb,90s,slow jams,love songs,smooth,1990
90s,rock,alternative rock,alternative,,1990
folk,irish folk,,,,1990
90s,rock,alternative,alternative rock,,1990
rock,,,,,1990
trip-hop,chillout,female vocalists,electronic,,1990
rock,alternative,alternative rock,weezer,indie,1990
rock,singer-songwriter,alternative rock,indie,alternative,1990
pop,rock,90s,easy listening,danish,1990
post-punk,rock,alternative,singer-songwriter,alternative rock,1990
country,shania twain,female vocalists,pop,love,1990
