,intro,verse,instrumental,chorus,outro,bridge,EndOfSong
StartOfSong,0.8478260869565217,0.15217391304347827,0.0,0.0,0.0,0.0,0.0
intro,0.0,0.925,0.025,0.05,0.0,0.0,0.0
verse,0.0,0.09848484848484848,0.05303030303030303,0.7272727272727273,0.022727272727272728,0.06060606060606061,0.03787878787878788
chorus,0.0,0.43137254901960786,0.16666666666666666,0.00980392156862745,0.20588235294117646,0.06862745098039216,0.11764705882352941
instrumental,0.0,0.7241379310344828,0.0,0.2413793103448276,0.0,0.034482758620689655,0.0
outro,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bridge,0.0,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.0,0.0,0.0
