,verse,chorus,instrumental,pre-chorus,bridge,EOS,solo,outro
intro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.06557377049180328,0.7213114754098361,0.01639344262295082,0.16393442622950818,0.01639344262295082,0.01639344262295082,0.0,0.0
chorus,0.34782608695652173,0.043478260869565216,0.11594202898550725,0.028985507246376812,0.15942028985507245,0.10144927536231885,0.028985507246376812,0.17391304347826086
bridge,0.2222222222222222,0.6111111111111112,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555
solo,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
instrumental,0.25,0.125,0.0,0.0,0.375,0.0,0.125,0.125
outro,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pre-chorus,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
