,chorus,intro,verse,EndOfSong,pre-chorus
StartOfSong,0.23809523809523808,0.5238095238095238,0.23809523809523808,0.0,0.0
chorus,0.19230769230769232,0.0,0.5769230769230769,0.23076923076923078,0.0
verse,0.7021276595744681,0.0,0.0851063829787234,0.02127659574468085,0.19148936170212766
pre-chorus,1.0,0.0,0.0,0.0,0.0
intro,0.2857142857142857,0.07142857142857142,0.5714285714285714,0.0,0.07142857142857142
