,verse,intro,chorus,EndOfSong,pre-chorus,bridge,outro
StartOfSong,0.28846153846153844,0.6153846153846154,0.09615384615384616,0.0,0.0,0.0,0.0
verse,0.03669724770642202,0.0,0.5504587155963303,0.027522935779816515,0.3761467889908257,0.009174311926605505,0.0
intro,0.8857142857142857,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0,0.0
chorus,0.40441176470588236,0.0,0.07352941176470588,0.19852941176470587,0.007352941176470588,0.20588235294117646,0.11029411764705882
bridge,0.030303030303030304,0.0,0.7575757575757576,0.09090909090909091,0.030303030303030304,0.0,0.09090909090909091
outro,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pre-chorus,0.022727272727272728,0.0,0.9545454545454546,0.0,0.0,0.022727272727272728,0.0
