,intro,verse,interlude,chorus,EndOfSong,pre-chorus,bridge
StartOfSong,0.7666666666666667,0.2,0.03333333333333333,0.0,0.0,0.0,0.0
intro,0.0,0.782608695652174,0.0,0.21739130434782608,0.0,0.0,0.0
verse,0.0,0.11494252873563218,0.06896551724137931,0.5862068965517241,0.04597701149425287,0.13793103448275862,0.04597701149425287
chorus,0.0,0.4583333333333333,0.1111111111111111,0.1111111111111111,0.18055555555555555,0.0,0.1388888888888889
interlude,0.0,0.3333333333333333,0.05555555555555555,0.4444444444444444,0.0,0.16666666666666666,0.0
pre-chorus,0.0,0.13333333333333333,0.0,0.8666666666666667,0.0,0.0,0.0
bridge,0.0,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0
