,intro,verse,chorus,pre-chorus,EndOfSong,interlude,bridge,outro,instrumental
StartOfSong,0.7058823529411765,0.2549019607843137,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0,0.868421052631579,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0,0.03361344537815126,0.6134453781512605,0.2689075630252101,0.01680672268907563,0.05042016806722689,0.01680672268907563,0.0,0.0
chorus,0.0,0.30714285714285716,0.05714285714285714,0.02142857142857143,0.17142857142857143,0.12857142857142856,0.1357142857142857,0.10714285714285714,0.07142857142857142
interlude,0.0,0.48,0.24,0.04,0.0,0.0,0.16,0.08,0.0
pre-chorus,0.0,0.023809523809523808,0.9285714285714286,0.0,0.0,0.023809523809523808,0.0,0.0,0.023809523809523808
bridge,0.0,0.125,0.625,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.125
instrumental,0.0,0.6666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0
outro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
