,intro,interlude,verse,chorus,pre-chorus,EndOfSong
StartOfSong,0.9375,0.0625,0.0,0.0,0.0,0.0
intro,0.0,0.058823529411764705,0.8823529411764706,0.058823529411764705,0.0,0.0
verse,0.0,0.04878048780487805,0.07317073170731707,0.5609756097560976,0.3170731707317073,0.0
pre-chorus,0.0,0.0,0.0,1.0,0.0,0.0
chorus,0.0,0.2894736842105263,0.34210526315789475,0.07894736842105263,0.02631578947368421,0.2631578947368421
interlude,0.0,0.058823529411764705,0.5294117647058824,0.35294117647058826,0.058823529411764705,0.0
