,intro,verse,chorus,EndOfSong,solo,pre-chorus,instrumental,outro,bridge
StartOfSong,0.7432432432432432,0.24324324324324326,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.034482758620689655,0.8793103448275862,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.0,0.0,0.0,0.0
verse,0.0,0.125,0.6684782608695652,0.010869565217391304,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.02717391304347826,0.03804347826086957
chorus,0.0,0.35185185185185186,0.06172839506172839,0.19135802469135801,0.043209876543209874,0.012345679012345678,0.1419753086419753,0.09876543209876543,0.09876543209876543
bridge,0.0,0.2608695652173913,0.391304347826087,0.13043478260869565,0.0,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.0
outro,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0
pre-chorus,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
instrumental,0.0,0.7741935483870968,0.0967741935483871,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806
solo,0.0,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
