,intro,verse,chorus,outro,instrumental,pre-chorus,EndOfSong
StartOfSong,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
intro,0.0,1.0,0.0,0.0,0.0,0.0,0.0
verse,0.0,0.08571428571428572,0.6285714285714286,0.014285714285714285,0.02857142857142857,0.24285714285714285,0.0
chorus,0.0,0.39655172413793105,0.0,0.1724137931034483,0.1724137931034483,0.05172413793103448,0.20689655172413793
outro,0.0,0.0,0.0,0.0,0.0,0.0,1.0
instrumental,0.0,0.5714285714285714,0.21428571428571427,0.14285714285714285,0.0,0.0,0.07142857142857142
pre-chorus,0.0,0.0,0.95,0.0,0.05,0.0,0.0
