song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
the-new-basement-tapes_kansas-city,83,75,8,5,"vi,IV",C,17
the-script_for-the-first-time,48,48,0,4,V,A,12
the-script_hall-of-fame,84,84,0,4,vi,A#,20
tom-odell_heal,60,60,0,4,I,C,20
twenty-one-pilots_the-judge,126,124,2,6,I,C,33
two-door-cinema-club_what-you-know,32,32,0,4,vi,A,8
u2_summer-of-love,77,77,0,5,III,Em,17
weyes-blood_andromeda,91,65,26,10,"ii,IV",E,10
x-ambassadors_renegades,100,90,10,8,I,D,27
x-ambassadors_unsteady,77,77,0,4,IV,D,20
zac-brown-band_knee-deep,108,105,3,6,V,D#,29
ed-sheeran_perfect,88,88,0,4,IV,Ab,22
vance-joy_riptide,99,99,0,3,VII,Bbm,30
taylor-swift_all-too-well,101,101,0,4,V,C,17
passenger_let-her-go,100,100,0,5,VI,Em,20
adele_someone-like-you,99,24,75,6,vii,G,0
bruno-mars_when-i-was-your-man,80,68,12,9,I,C,18
ed-sheeran_thinking-out-loud,165,165,0,5,I,D,67
ed-sheeran_photograph,46,46,0,4,"vi,V",E,9
john-legend_all-of-me,97,0,97,5,#III,Em,0
adele_when-we-were-young,134,131,3,7,III,Cm,10
lewis-capaldi_someone-you-loved,64,64,0,5,vi,C#,11
justin-bieber_love-yourself,138,138,0,5,I,E,45
ed-sheeran_i-see-fire,118,118,0,5,i,Bbm,35
bruno-mars_talking-to-the-moon,68,0,68,6,VII,C,0
tom-odell_another-love,106,106,0,5,i,Em,37
darius-rucker_wagon-wheel,142,142,0,4,V,A,37
the-walters_i-love-you-so,52,45,7,5,I,Bb,18
james-arthur_say-you-wont-let-go,61,0,61,4,"#VI,i",G,0
daniel-caesar_best-part,3,0,3,1,v,D,0
rihanna_stay,126,126,0,5,vi,C,13
ed-sheeran_the-a-team,99,99,0,5,IV,A,30
calum-scott_you-are-the-reason,62,59,3,5,V,Bb,8
lord-huron_the-night-we-met,63,63,0,4,III,F#m,19
christina-perri_a-thousand-years,48,48,0,5,vi,Bb,5
billie-eilish_lovely,53,37,16,3,iii,C,15
imagine-dragons_radioactive,75,60,15,4,VII,Bm,16
adele_all-i-ask,94,10,84,14,VII,C,6
noah-cyrus_july,39,39,0,5,"III,VI,i",Am,12
avicii_wake-me-up,143,143,0,4,"VI,III",Bm,33
harry-styles_watermelon-sugar,44,44,0,4,vi,C,14
gotye_somebody-that-i-used-to-know,202,202,0,3,VII,Dm,70
ariana-grande_santa-tell-me,66,66,0,5,IV,G,17
taylor-swift_enchanted,127,127,0,4,IV,Ab,29
billie-eilish_ocean-eyes,142,142,0,4,"III,VI",Em,33
the-longest-johns_wellerman,69,12,57,6,iii,Am,0
sam-smith_stay-with-me,81,81,0,4,VI,Am,23
adele_hello,166,0,166,5,#VII,Em,0
aurora_runaway,57,57,0,5,VII,G#m,6
taylor-swift_lover,94,94,0,5,V,G,24
pentatonix_mary-did-you-know,59,18,41,6,"I,VII",Am,0
bethel-music_goodness-of-god,155,0,155,4,#I,G,0
chris-tomlin_noel,36,36,0,5,I,Db,12
a-great-big-world_say-something,60,18,42,5,"VII,IV",Am,0
imagine-dragons_demons,50,0,50,4,#vi,D,0
taylor-swift_wildest-dreams,96,69,27,5,II,Db,23
one-direction_night-changes,84,61,23,9,V,Ab,6
morgan-wallen_cover-me-up,57,57,0,4,I,D,25
harry-styles_falling,48,48,0,5,vi,E,7
calum-scott_dancing-on-my-own,71,0,71,4,bVI,C,0
billie-eilish_when-the-partys-over,70,68,2,5,I,A,21
billie-eilish_idontwannabeyouanymore,19,4,15,3,II,C,0
duncan-laurence_arcade,84,84,0,5,VII,Am,6
sam-smith_im-not-the-only-one,134,106,28,5,I,F,35
one-direction_story-of-my-life,60,0,60,4,#VII,Am,0
billie-eilish_i-love-you,16,16,0,3,I,C,10
adele_set-fire-to-the-rain,93,66,27,6,III,Am,2
ruth-b-_dandelions,115,115,0,4,"i,III",Bbm,35
of-monsters-and-men_little-talks,109,109,0,4,III,Bbm,40
bruno-mars_just-the-way-you-are,34,34,0,3,"vi,IV",F,10
ed-sheeran_happier,87,87,0,3,VI,Am,26
christina-perri_jar-of-hearts,81,65,16,8,i,Cm,19
harry-styles_sign-of-the-times,54,54,0,4,V,F,10
ed-sheeran_castle-on-the-hill,156,156,0,4,I,D,57
lady-a-lady-antebellum_need-you-now,39,39,0,5,IV,E,7
matt-maltese_as-the-world-caves-in,34,23,11,6,I,Bb,13
cavetown_devil-town,96,92,4,7,"IV,I",D#,21
ricky-montgomery_line-without-a-hook,118,118,0,6,I,Ab,29
sara-bareilles_she-used-to-be-mine,33,30,3,5,vi,F,5
hillsong-united_oceans-where-feet-may-fail,135,135,0,5,VII,Bm,18
david-guetta_titanium,108,60,48,6,IV,F,0
matt-redman_10000-reasons-bless-the-lord,116,116,0,4,V,G,27
tones-and-i_dance-monkey,59,59,0,4,VI,F#m,10
sam-smith_too-good-at-goodbyes,58,58,0,4,"III,VII",Dm,10
taylor-swift_back-to-december,87,21,66,5,II,C,0
lewis-capaldi_bruises,75,75,0,6,i,C#m,23
shawn-mendes_stitches,97,97,0,4,VII,Bbm,20
ed-sheeran_shape-of-you,152,152,0,4,iv,C#m,35
taylor-swift_red,81,81,0,4,V,E,7
taylor-swift_everything-has-changed,65,0,65,5,"III,#i",D,0
billie-eilish_bellyache,91,90,1,4,i,Em,38
camila-cabello_havana,114,76,38,3,VI,Gm,33
mitski_first-love-late-spring,87,68,19,10,IV,C,17
tyler-childers_feathered-indians,51,51,0,4,"V,IV",G,3
dean-lewis_be-alright,81,81,0,4,VI,G#m,17
phoebe-bridgers_funeral,102,102,0,4,I,B,36
jp-saxe_if-the-world-was-ending,61,0,61,6,bVI,C,0
tyler-childers_lady-may,98,98,0,3,V,G#,26
bruno-mars_grenade,95,91,4,7,i,Dm,25
sia_chandelier,61,0,61,5,bII,F,0
lady-gaga_million-reasons,78,78,0,4,IV,C,14
joy-again_looking-out-for-you,99,95,4,7,iii,A,9
lukas-graham_7-years,97,96,1,5,VII,Gm,16
avicii_the-nights,63,63,0,4,i,Ebm,18
billie-eilish_everything-i-wanted,44,41,3,3,V,A,0
james-bay_let-it-go,108,0,108,5,#I,G,0
bruno-mars_count-on-me,68,68,0,6,iii,C,8
bastille_pompeii,82,82,0,4,III,F#m,22
phoebe-bridgers_motion-sickness,80,80,0,6,IV,C#,17
ed-sheeran_supermarket-flowers,112,0,112,6,VII,C,0
pentatonix_thats-christmas-to-me,89,89,0,6,V,F#,15
chris-cornell_nothing-compares-2-u,71,67,4,7,V,C,16
post-malone_circles,28,17,11,3,iv,C,7
niall-horan_this-town,70,0,70,5,VI,C,0
taylor-swift_blank-space,42,42,0,5,IV,F,8
syml_wheres-my-love,75,75,0,6,IV,D#,18
pnk_try,146,146,0,4,I,D,42
ricky-montgomery_mr-loverman,41,39,2,7,I,C,17
ed-sheeran_galway-girl,112,112,0,5,III,F#m,17
the-lumineers_ho-hey,75,75,0,4,I,C,28
cory-asbury_reckless-love,110,0,110,4,V,Em,0
luis-fonsi_despacito,63,63,0,4,VI,Bm,12
steve-lacy_dark-red,105,85,20,8,ii,Gb,21
lauren-daigle_light-of-the-world,86,84,2,7,IV,F#,22
shawn-mendes_mercy,100,80,20,5,v,Em,19
daft-punk_get-lucky,90,73,17,4,"III,v",Bm,19
cigarettes-after-sex_apocalypse,64,64,0,6,"vi,I",F,15
dean-lewis_waves,115,85,30,5,V,G,23
the-lumineers_stubborn-love,89,89,0,3,I,C,31
one-direction_little-things,83,83,0,5,IV,G,10
paramore_still-into-you,73,73,0,4,I,F,22
taylor-swift_we-are-never-ever-getting-back-together,130,130,0,4,V,G,34
rex-orange-county_best-friend,61,40,21,5,I,Gb,22
lil-nas-x_old-town-road,40,12,28,4,"bIII,bVII",Ab,6
coldplay_christmas-lights,86,86,0,4,"IV,I",G,25
alec-benjamin_let-me-down-slowly,86,0,86,4,"II,#vii",Am,0
vundabar_alien-blues,45,39,6,5,I,Bb,13
lana-del-rey_video-games,108,27,81,6,ii,Em,0
patrick-watson_je-te-laisserai-des-mots,54,48,6,5,IV,D,9
lana-del-rey_summertime-sadness,85,0,85,4,bvi,F,0
ed-sheeran_give-me-love,98,0,98,5,#VI,Am,0
fun-_we-are-young,60,60,0,6,IV,F,11
anne-marie_2002,96,96,0,5,V,E,23
clairo_sofia,74,28,46,4,"II,vii",F,14
hozier_take-me-to-church,119,96,23,9,iv,Em,24
lauren-daigle_you-say,60,60,0,4,"iii,vi",F,11
shawn-mendes_treat-you-better,91,91,0,4,VII,Bbm,21
meghan-trainor_like-im-gonna-lose-you,79,79,0,6,iii,C,9
kelly-clarkson_underneath-the-tree,91,58,33,11,iv,Eb,14
james-arthur_impossible,56,56,0,4,VII,Em,10
slander-us_love-is-gone,52,0,52,4,"bVI,bIII",Eb,0
alan-walker_faded,57,0,57,4,"II,#VI",Am,0
harry-styles_sweet-creature,140,140,0,6,I,G,46
milky-chance_stolen-dance,145,119,26,5,"VII,III",G#m,26
craig-campbell_outskirts-of-heaven,50,50,0,5,IV,C,17
mumford-sons_i-will-wait,91,91,0,5,I,Db,33
billie-eilish_bored,58,58,0,5,I,G,16
ruth-b-_lost-boy,106,106,0,4,I,G,53
the-paper-kites_bloom,43,43,0,3,III,Ebm,12
andra-day_rise-up,60,0,60,4,bVI,C,0
the-rare-occasions_notion,79,60,19,10,"iii,vi,ii,I",A,12
billie-eilish_hostage,76,74,2,5,VI,Am,19
finneas_lets-fall-in-love-for-the-night,63,43,20,5,III,Am,0
the-lumineers_ophelia,90,90,0,4,I,F,39
hillsong-worship_what-a-beautiful-name,89,89,0,5,V,D,7
finneas_break-my-heart-again,77,76,1,7,VII,Em,11
ed-sheeran_lego-house,117,117,0,4,V,B,32
jason-mraz_i-wont-give-up,55,44,11,6,V,A,14
adele_turning-tables,82,82,0,5,IV,D#,14
linkin-park_one-more-light,62,0,62,5,#VI,Em,0
the-1975_be-my-mistake,47,45,2,5,I,Db,18
post-malone_feeling-whitney,21,21,0,4,I,C,9
taylor-swift_i-knew-you-were-trouble,117,117,0,4,V,F#,21
beach-house_space-song,101,101,0,5,iii,D#,19
justin-bieber_baby,37,13,24,4,"vii,V",Db,0
sam-smith_lay-me-down,59,54,5,6,IV,E,9
elevation-worship_o-come-to-the-altar,69,69,0,4,IV,B,19
avenged-sevenfold_so-far-away,101,99,2,7,VII,Em,25
kacey-musgraves_rainbow,97,0,97,6,#ii,G,0
harry-styles_from-the-dining-table,168,144,24,7,I,Eb,52
matt-maeson_hallucinogenics,81,81,0,4,vi,C,17
girl-in-red_we-fell-in-love-in-october,13,13,0,1,V,C,0
billie-eilish_listen-before-i-go,17,12,5,5,V,Am,4
clairo_bubble-gum,48,48,0,4,V,G,12
childish-gambino_redbone,95,85,10,7,VII,D#m,26
taylor-swift_22,132,132,0,4,V,G,31
beach-bunny_sports,77,73,4,5,V,A,18
bruno-mars_it-will-rain,95,19,76,7,VI,C,0
housefires_build-my-life,118,118,0,5,I,G,38
phoebe-bridgers_georgia,83,83,0,4,IV,D,16
joji_slow-dancing-in-the-dark,32,31,1,6,I,Eb,10
harry-styles_adore-you,41,41,0,3,III,Cm,11
one-direction_you-and-i,114,62,52,6,I,Gb,26
rainbow-kitten-surprise_its-called-freefall,35,32,3,5,I,D,11
little-big-town_girl-crush,41,41,0,5,IV,C,10
chord-overstreet_hold-on,61,61,0,4,"IV,I",D,21
kodaline_high-hopes,112,0,112,5,VII,C,0
shawn-mendes_theres-nothing-holdin-me-back,169,169,0,4,I,D,85
taylor-swift_dear-john,72,72,0,4,IV,E,17
the-chainsmokers_something-just-like-this,186,100,86,5,II,G,48
the-lumineers_sleep-on-the-floor,83,83,0,4,I,C,27
lana-del-rey_brooklyn-baby,110,110,0,5,I,C#,35
lorde_liability,98,0,98,6,bvii,C,0
mike-posner_i-took-a-pill-in-ibiza,62,62,0,4,"V,IV",A#,17
george-ezra_budapest,57,7,50,3,#VI,G,0
mitski_i-bet-on-losing-dogs,82,42,40,9,ii,A,11
daughter_youth,112,112,0,5,VI,Am,29
arctic-monkeys_no1-party-anthem,82,63,19,7,I,G,22
twenty-one-pilots_stressed-out,100,90,10,7,i,Am,28
pnk_just-give-me-a-reason,107,99,8,7,V,G,17
taylor-swift_christmas-tree-farm,83,81,2,7,I,C,21
bruno-mars_locked-out-of-heaven,108,108,0,5,V,F,26
coldplay_everglow,133,133,0,5,VI,C#m,32
bruno-mars_marry-you,48,48,0,3,"ii,IV",F,14
adele_million-years-ago,101,61,40,8,III,F#m,16
flora-cash_youre-somebody-else,77,77,0,4,"VI,III",Bbm,15
phil-wickham_joy-to-the-world-joyful-joyful,49,49,0,5,IV,C#,13
harry-styles_cherry,34,29,5,6,I,G,16
lana-del-rey_blue-jeans,66,66,0,3,I,D#,25
rihanna_love-on-the-brain,42,40,2,6,vi,G,8
billie-eilish_bad-guy,15,13,2,3,iv,Gm,4
avicii_hey-brother,22,22,0,4,VII,Gm,1
birdy_people-help-the-people,89,65,24,6,I,Gb,29
the-head-and-the-heart_rivers-and-roads,81,81,0,3,I,C,32
one-direction_what-makes-you-beautiful,123,123,0,3,IV,E,38
one-direction_18,84,84,0,4,IV,A,19
tyler-childers_shake-the-frost,97,72,25,4,V,G,12
sam-fischer_this-city,100,84,16,4,V,E,25
taylor-swift_treacherous,81,81,0,4,vi,D,16
billie-eilish_watch,60,60,0,6,IV,C,5
mark-ronson_uptown-funk,94,56,38,3,i,Dm,50
daniel-caesar_get-you,68,33,35,4,"vii,iii",G,0
sufjan-stevens_mystery-of-love,100,100,0,6,I,G,33
sasha-sloan_dancing-with-your-ghost,68,68,0,5,III,G#m,12
the-1975_somebody-else,54,53,1,5,"V,vi",C,1
angus-julia-stone_big-jet-plane,73,73,0,4,vi,Db,15
hillsong-worship_who-you-say-i-am,58,58,0,4,V,G,13
alex-sierra_little-do-you-know,75,75,0,5,VI,Am,11
chris-stapleton_broken-halos,85,85,0,4,I,Ab,40
twenty-one-pilots_house-of-gold,54,48,6,7,"I,IV",C,15
zayn_dusk-till-dawn,125,71,54,9,II,D,20
lewis-capaldi_forever,57,57,0,5,V,Db,9
taylor-swift_style,35,35,0,5,IV,D,5
justin-bieber_christmas-love,67,67,0,5,"vi,ii",A,9
leon-bridges_river,23,23,0,3,V,C#,8
magic_rude,110,110,0,4,"V,I",C#,32
taylor-swift_begin-again,50,50,0,4,I,G,16
alec-benjamin_the-water-fountain,42,35,7,5,vi,Db,7
pharrell-williams_happy,129,8,121,6,vi,Em,0
disturbed_the-sound-of-silence,68,68,0,4,VI,F#m,14
luke-combs_when-it-rains-it-pours,101,0,101,6,III,G,0
rex-orange-county_pluto-projector,70,31,39,11,V,C,3
celeste-uk_strange,75,50,25,8,iv,D,18
twenty-one-pilots_ride,115,0,115,5,#i,G,0
the-band-perry_if-i-die-young,89,89,0,4,I,E,29
neon-trees_everybody-talks,40,37,3,4,IV,D#,9
billie-eilish_party-favor,53,48,5,6,I,C,18
the-black-keys_little-black-submarines,98,62,36,6,II,G,18
lana-del-rey_young-and-beautiful,88,88,0,6,V,D,18
taylor-swift_i-almost-do,104,104,0,4,V,E,31
robin-schulz_sugar,116,88,28,4,i,Bbm,32
taylor-swift_crazier,50,50,0,5,V,E,5
daniel-caesar_japanese-denim,37,18,19,6,iv,Eb,0
sia_elastic-heart,154,94,60,4,II,D,26
charlie-puth_one-call-away,91,90,1,5,V,Db,20
5-seconds-of-summer_amnesia,81,81,0,4,I,D,32
the-backseat-lovers_kilby-girl,40,32,8,5,I,C#,12
billie-eilish_all-the-good-girls-go-to-hell,37,32,5,4,iv,G#m,5
taylor-swift_sparks-fly,97,97,0,4,"IV,I",F,27
foster-the-people_pumped-up-kicks,111,88,23,4,"III,VII",Fm,24
haloo-helsinki_joulun-kanssas-jaan,66,66,0,5,vi,G#,14
taylor-swift_cornelia-street,93,93,0,4,vi,C,18
wilbur-soot_maybe-i-was-boring,82,82,0,4,vi,Bb,19
ashe_moral-of-the-story,62,27,35,8,III,Bb,12
caamp_by-and-by,83,83,0,5,V,A,14
taylor-swift_death-by-a-thousand-cuts,106,106,0,6,V,E,18
khalid_location,29,21,8,7,vi,E,1
arctic-monkeys_r-u-mine,87,85,2,6,VI,F#m,25
colter-wall_kate-mccannon,77,0,77,4,#VII,Am,0
selena-gomez_lose-you-to-love-me,59,59,0,5,I,E,24
