,total_num_sections,num_unique_sections,Song
0,8,3,metallica_nothing-else-matters
1,10,5,4-non-blondes_whats-up
2,10,5,aerosmith_crazy
3,14,9,aerosmith_cryin
4,7,4,aerosmith_i-dont-want-to-miss-a-thing
5,9,4,alanis-morissette_hand-in-my-pocket
6,8,4,alanis-morissette_ironic
7,9,5,alanis-morissette_you-oughta-know
8,2,1,alice-in-chains_nutshell
9,8,5,alice-in-chains_rooster
10,9,5,bic-runga_sway
11,8,6,blind-melon_no-rain
12,5,2,blink-182_adams-song
13,10,5,blink-182_all-the-small-things
14,8,5,blink-182_dammit
15,8,5,blur_coffee-and-tv
16,7,3,bob-dylan_make-you-feel-my-love
17,10,7,bon-jovi_always
18,10,5,bon-jovi_bed-of-roses
19,6,4,bonnie-raitt_i-cant-make-you-love-me
20,9,6,bryan-adams_everything-i-do-i-do-it-for-you
21,9,5,bush_glycerine
22,7,5,cake_i-will-survive
23,9,5,counting-crows_a-long-december
24,7,4,counting-crows_mr-jones
25,11,3,counting-crows_round-here
26,10,3,deep-blue-something_breakfast-at-tiffanys
27,10,5,dexys-midnight-runners_come-on-eileen
28,11,6,duran-duran_ordinary-world
29,9,5,eagle-eye-cherry_save-tonight
30,9,6,eagles_love-will-keep-us-alive
31,7,4,edwin-mccain_ill-be
32,9,6,elliott-smith_waltz-2-xo
33,7,4,elvis-costello_she
34,10,5,eraserheads_ang-huling-el-bimbo
35,9,5,eraserheads_with-a-smile
36,8,4,eric-clapton_tears-in-heaven
37,6,4,extreme_more-than-words
38,4,3,faith-no-more_easy
39,7,3,fastball_the-way
40,6,4,flogging-molly_if-i-ever-leave-this-world-alive
41,5,2,foo-fighters_big-me
42,9,5,foo-fighters_everlong
43,9,6,foo-fighters_learn-to-fly
44,6,4,foo-fighters_my-hero
45,8,4,fools-garden_lemon-tree
46,7,5,george-harrison_isnt-it-a-pity
47,11,6,goo-goo-dolls_iris
48,10,6,green-day_basket-case
49,11,6,green-day_good-riddance-time-of-your-life
50,11,6,green-day_when-i-come-around
51,8,5,guns-n-roses_knockin-on-heavens-door
52,8,5,guns-n-roses_november-rain
53,12,7,hootie-the-blowfish_hold-my-hand
54,9,4,hootie-the-blowfish_let-her-cry
55,7,4,hootie-the-blowfish_only-wanna-be-with-you
56,8,3,incubus_drive
57,10,2,jeff-buckley_hallelujah
58,5,4,jeff-buckley_lilac-wine
59,10,5,joan-osborne_one-of-us
60,5,3,live_lightning-crashes
61,7,5,lonestar_amazed
62,4,2,manu-chao_clandestino
63,13,8,marc-cohn_walking-in-memphis
64,4,2,marcy-playground_sex-and-candy
65,10,6,matchbox-twenty_push
66,5,3,mazzy-star_fade-into-you
67,8,4,metallica_the-unforgiven-ii
68,10,6,metallica_turn-the-page
69,11,6,metallica_whiskey-in-the-jar
70,9,4,michael-jackson_earth-song
71,8,5,mr-big_to-be-with-you
72,7,5,muse_unintended
73,12,7,natalie-imbruglia_torn
74,4,2,neil-young_harvest-moon
75,5,3,neutral-milk-hotel_in-the-aeroplane-over-the-sea
76,9,5,neutral-milk-hotel_oh-comely
77,5,3,nine-inch-nails_hurt
78,9,5,nirvana_come-as-you-are
79,8,4,nirvana_drain-you
80,10,6,nirvana_in-bloom
81,4,2,nirvana_lake-of-fire
82,10,6,nirvana_lithium
83,5,5,nirvana_pennyroyal-tea
84,10,6,nirvana_polly
85,10,6,nirvana_rape-me
86,12,5,nirvana_smells-like-teen-spirit
87,5,3,nirvana_something-in-the-way
88,7,5,nirvana_the-man-who-sold-the-world
89,8,5,no-doubt_dont-speak
90,9,7,oasis_cast-no-shadow
91,28,8,oasis_champagne-supernova
92,11,6,oasis_dont-go-away
