song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
eminem_stan,296,296,0,4,V,B,50
3-doors-down_here-without-you,73,73,0,4,V,C#,7
3-doors-down_kryptonite,107,107,0,5,VI,Bm,31
a-day-to-remember_if-it-means-a-lot-to-you,57,57,0,3,I,F,20
all-time-low_dear-maria-count-me-in,57,57,0,6,IV,D,13
all-time-low_remembering-sunday,50,36,14,5,#VI,E,7
alter-bridge_watch-over-you,90,90,0,4,IV,G,31
amy-macdonald_this-is-the-life,51,51,0,4,I,E,17
anna-nalick_breathe-2-am,70,63,7,5,I,D,24
arctic-monkeys_505,44,22,22,2,"i,vii",Em,22
arctic-monkeys_baby-im-yours,57,45,12,7,ii,D,7
arctic-monkeys_cornerstone,74,74,0,6,ii,A,18
arctic-monkeys_fluorescent-adolescent,54,54,0,5,ii,E,6
arctic-monkeys_mardy-bum,72,62,10,7,IV,D,9
arctic-monkeys_no-buses,104,84,20,9,ii,E,10
arctic-monkeys_only-ones-who-know,49,33,16,9,ii,F,5
arctic-monkeys_when-the-sun-goes-down,112,29,83,12,v,E,4
audioslave_i-am-the-highway,77,75,2,6,"V,I",C,20
avril-lavigne_complicated,87,87,0,5,IV,F,18
avril-lavigne_im-with-you,94,79,15,6,IV,A,11
avril-lavigne_sk8er-boi,91,49,42,8,III,F,11
avril-lavigne_when-youre-gone,64,62,2,7,IV,G,8
band-of-horses_the-funeral,82,82,0,4,I,D#,25
blink-182_i-miss-you,106,106,0,4,I,B,51
bon-jovi_its-my-life,85,85,0,4,IV,A#,22
brandi-carlile_the-story,64,64,0,4,I,B,28
cage-the-elephant_aint-no-rest-for-the-wicked,150,98,52,4,bVII,C,38
casting-crowns_praise-you-in-this-storm,77,77,0,6,IV,F#,21
casting-crowns_who-am-i,70,70,0,4,V,B,6
chris-cornell_you-know-my-name,77,51,26,6,I,G,24
coldplay_clocks,68,68,0,5,ii,G#,2
coldplay_fix-you,61,61,0,4,I,Eb,19
coldplay_green-eyes,70,66,4,5,ii,A,17
coldplay_in-my-place,67,67,0,5,V,A,16
coldplay_sparks,3,3,0,2,i,Em,2
coldplay_the-scientist,44,44,0,4,I,F,14
coldplay_trouble,86,74,12,7,iv,Bm,16
coldplay_viva-la-vida,94,94,0,5,V,G#,23
coldplay_yellow,44,27,17,5,II,F,14
counting-crows_accidentally-in-love,110,103,7,6,IV,G,23
creed_one-last-breath,85,74,11,6,vi,D,15
daniel-powter_bad-day,100,95,5,8,ii,D#,17
david-crowderband_how-he-loves,20,20,0,3,ii,G,5
death-cab-for-cutie_i-will-follow-you-into-the-dark,67,61,6,6,I,F,23
edward-sharpe-and-the-magnetic-zeros_home,101,101,0,5,I,D,67
element-of-crime_ein-hotdog-unten-am-hafen,70,64,6,5,I,C,24
elvis-presley_oh-happy-day,56,52,4,5,I,G,16
empire-of-the-sun_we-are-the-people,42,36,6,5,i,Em,19
evanescence_my-immortal,83,83,0,6,iii,A,10
fall-out-boy_sugar-were-going-down,70,67,3,6,I,G,30
five-for-fighting_superman-its-not-easy,66,64,2,6,V,C,12
florence-the-machine_dog-days-are-over,57,57,0,3,I,G,31
florence-the-machine_youve-got-the-love,33,33,0,3,I,F#,15
foo-fighters_best-of-you,78,78,0,4,VI,C#m,18
foo-fighters_the-pretender,54,30,24,5,I,D,14
fountains-of-wayne_stacys-mom,128,93,35,9,IV,E,21
franz-ferdinand_take-me-out,97,94,3,8,vi,G,7
fuel_hemorrhage-in-my-hands,105,77,28,9,I,G#,33
gary-jules_mad-world,54,54,0,4,"V,ii",D#,8
green-day_21-guns,163,160,3,5,V,F,43
green-day_american-idiot,158,149,9,5,"I,V",C#,56
green-day_boulevard-of-broken-dreams,139,117,22,7,"I,V",G#,38
green-day_holiday,175,126,49,8,I,G#,42
green-day_jesus-of-suburbia,306,245,61,8,I,G#,111
green-day_last-night-on-earth,49,33,16,3,I,A,23
green-day_wake-me-up-when-september-ends,70,60,10,6,I,G,20
hillsong-united_hosanna,85,85,0,5,V,E,12
hillsong-united_lead-me-to-the-cross,50,50,0,5,V,D,11
hoobastank_the-reason,23,22,1,5,"IV,V",E,3
ingrid-michaelson_you-and-i,38,30,8,6,IV,C,8
james-blunt_1973,61,61,0,4,vi,A,11
jason-mraz_im-yours,56,46,10,5,I,F#,20
jason-mraz_lucky,79,75,4,6,vi,C,11
jet_are-you-gonna-be-my-girl,56,39,17,5,I,A,23
jimmy-eat-world_the-middle,37,37,0,3,I,D,13
john-mayer_daughters,86,75,11,6,I,A,24
john-mayer_free-fallin,103,103,0,3,IV,F,32
john-mayer_gravity,20,17,3,4,"IV,I",G,7
