song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
metallica_nothing-else-matters,106,67,39,6,#VI,D,29
4-non-blondes_whats-up,60,60,0,3,"vi,I,V",D,20
aerosmith_crazy,118,101,17,8,IV,A,18
aerosmith_cryin,150,84,66,12,V,A,20
aerosmith_i-dont-want-to-miss-a-thing,51,48,3,9,V,D,9
alanis-morissette_hand-in-my-pocket,90,80,10,4,I,G,69
alanis-morissette_ironic,99,96,3,5,V,G,25
alanis-morissette_you-oughta-know,58,55,3,5,V,E,6
alice-in-chains_nutshell,44,44,0,4,"vi,I",F#,12
alice-in-chains_rooster,69,30,39,4,VI,A,24
bic-runga_sway,34,34,0,6,"IV,iii",A,4
blind-melon_no-rain,62,33,29,4,II,D,23
blink-182_adams-song,75,75,0,4,I,F,28
blink-182_all-the-small-things,70,70,0,3,V,C,18
blink-182_dammit,70,70,0,4,"V,vi",C,14
blur_coffee-and-tv,106,67,39,10,V,E,13
bob-dylan_make-you-feel-my-love,54,32,22,7,IV,G#,11
bon-jovi_always,109,62,47,8,II,A,32
bon-jovi_bed-of-roses,136,136,0,5,IV,F,39
bonnie-raitt_i-cant-make-you-love-me,96,96,0,5,I,A#,30
bryan-adams_everything-i-do-i-do-it-for-you,46,29,17,7,II,F#,10
bush_glycerine,101,101,0,4,IV,F,22
cake_i-will-survive,107,66,41,7,III,C,15
counting-crows_a-long-december,113,113,0,4,IV,F,32
counting-crows_mr-jones,105,105,0,5,IV,C,14
counting-crows_round-here,102,96,6,6,V,G,19
deep-blue-something_breakfast-at-tiffanys,131,131,0,3,IV,D,40
dexys-midnight-runners_come-on-eileen,84,63,21,8,IV,D,9
duran-duran_ordinary-world,87,58,29,9,I,E,18
eagle-eye-cherry_save-tonight,178,178,0,4,IV,C,46
eagles_love-will-keep-us-alive,49,49,0,6,"vi,IV,V",A,6
edwin-mccain_ill-be,95,66,29,5,I,E,34
elliott-smith_waltz-2-xo,120,109,11,8,I,A#,38
elvis-costello_she,47,33,14,10,I,C,15
eraserheads_ang-huling-el-bimbo,93,73,20,5,I,G,35
eraserheads_with-a-smile,63,45,18,7,ii,G,6
eric-clapton_tears-in-heaven,119,69,50,11,II,D,17
extreme_more-than-words,101,99,2,7,IV,F#,21
faith-no-more_easy,55,46,9,8,"iii,ii",G#,9
fastball_the-way,72,56,16,7,vi,A,12
flogging-molly_if-i-ever-leave-this-world-alive,46,46,0,4,I,D,17
foo-fighters_big-me,53,51,2,5,"IV,I",C,15
foo-fighters_everlong,95,59,36,7,IV,D,20
foo-fighters_learn-to-fly,91,79,12,6,I,E,25
foo-fighters_my-hero,46,44,2,4,I,E,21
fools-garden_lemon-tree,103,95,8,8,iii,G#,6
george-harrison_isnt-it-a-pity,58,54,4,3,I,G,34
goo-goo-dolls_iris,113,113,0,6,IV,C,9
green-day_basket-case,111,108,3,6,V,D#,30
green-day_good-riddance-time-of-your-life,91,91,0,4,I,G,32
green-day_when-i-come-around,96,74,22,5,"I,ii",C#,26
guns-n-roses_knockin-on-heavens-door,44,44,0,4,V,G,12
guns-n-roses_november-rain,78,72,6,10,"ii,IV",B,16
hootie-the-blowfish_hold-my-hand,122,122,0,3,IV,B,50
hootie-the-blowfish_let-her-cry,65,65,0,4,IV,G,21
hootie-the-blowfish_only-wanna-be-with-you,130,130,0,4,IV,F#,54
incubus_drive,47,23,24,3,VI,C,7
jeff-buckley_hallelujah,95,90,5,5,V,C,22
jeff-buckley_lilac-wine,56,31,25,8,V,C,12
joan-osborne_one-of-us,123,123,0,4,IV,A,34
live_lightning-crashes,80,80,0,3,I,B,30
lonestar_amazed,53,39,14,9,IV,C#,7
manu-chao_clandestino,48,30,18,4,v,Bm,8
marc-cohn_walking-in-memphis,183,181,2,6,"V,I",C,52
marcy-playground_sex-and-candy,74,47,27,5,IV,D,7
matchbox-twenty_push,111,111,0,4,V,F#,13
mazzy-star_fade-into-you,70,70,0,4,V,A,21
metallica_the-unforgiven-ii,234,178,56,9,V,C,49
metallica_turn-the-page,68,60,8,4,I,C#,26
metallica_whiskey-in-the-jar,103,103,0,4,I,F,41
michael-jackson_earth-song,174,118,56,9,VI,F#,6
mr-big_to-be-with-you,107,70,37,8,I,E,43
muse_unintended,43,29,14,6,IV,G,7
natalie-imbruglia_torn,57,57,0,5,V,F,11
neil-young_harvest-moon,74,58,16,9,I,D,19
neutral-milk-hotel_in-the-aeroplane-over-the-sea,80,80,0,4,IV,G,19
neutral-milk-hotel_oh-comely,88,60,28,5,VI,G,10
nine-inch-nails_hurt,86,66,20,6,I,D,25
nirvana_come-as-you-are,52,44,8,5,ii,D,12
nirvana_drain-you,135,117,18,8,iii,A,27
nirvana_in-bloom,148,81,67,10,IV,F,9
nirvana_lake-of-fire,47,38,9,6,IV,F,9
nirvana_lithium,229,134,95,7,#V,D,15
nirvana_pennyroyal-tea,64,52,12,5,ii,F#,8
nirvana_polly,150,129,21,5,I,G,42
nirvana_rape-me,122,82,40,8,"I,III",C,30
nirvana_smells-like-teen-spirit,261,132,129,5,V,C#,60
nirvana_something-in-the-way,80,80,0,2,"I,iii",C#,40
nirvana_the-man-who-sold-the-world,44,29,15,5,I,E,14
no-doubt_dont-speak,143,77,66,12,v,D#,16
oasis_cast-no-shadow,49,43,6,5,V,G,10
oasis_champagne-supernova,200,179,21,7,V,D,7
oasis_dont-go-away,78,74,4,7,V,C,4
oasis_dont-look-back-in-anger,141,114,27,6,V,C,27
oasis_half-the-world-away,51,45,6,6,IV,G,4
oasis_live-forever,61,61,0,5,V,G,3
oasis_shes-electric,107,80,27,7,V,A,22
oasis_slide-away,42,29,13,5,I,G,16
oasis_some-might-say,102,96,6,9,IV,D,27
oasis_supersonic,103,89,14,5,I,A,30
oasis_talk-tonight,86,68,18,5,IV,G,18
oasis_whatever,158,126,32,8,I,D,65
oasis_wonderwall,133,118,15,5,vi,A,29
ozzy-osbourne_mama-im-coming-home,79,61,18,9,I,D#,25
parokya-ni-edgar_harana,83,64,19,7,V,G,8
pearl-jam_black,60,38,22,5,I,A,21
pearl-jam_elderly-woman-behind-the-counter-in-a-small-town,90,84,6,4,IV,G,31
pearl-jam_last-kiss,75,75,0,4,"vi,IV,V",G,18
pearl-jam_yellow-ledbetter,33,33,0,3,I,E,13
phil-collins_youll-be-in-my-heart,87,35,52,14,#VI,A#,13
pulp_common-people,27,27,0,3,"I,V",C,13
r-e-m-_everybody-hurts,62,52,10,7,V,G,20
r-e-m-_losing-my-religion,137,131,6,7,IV,C,5
r-e-m-_man-on-the-moon,137,137,0,6,IV,G,26
r-e-m-_shiny-happy-people,135,58,77,8,IV,Bm,4
radiohead_creep,27,13,14,4,"VII,I",F,10
radiohead_exit-music-for-a-film,75,24,51,9,III,G,2
radiohead_fake-plastic-trees,54,54,0,5,I,A,22
radiohead_high-and-dry,69,69,0,3,V,A,20
radiohead_just,92,44,48,10,I,F,18
radiohead_karma-police,132,122,10,9,I,G,39
radiohead_let-down,58,58,0,4,IV,A,18
radiohead_lucky,62,55,7,8,vi,G,8
radiohead_no-surprises,48,42,6,5,V,F,8
radiohead_paranoid-android,58,31,27,13,III,F,5
red-hot-chili-peppers_californication,95,80,15,10,vi,C,12
red-hot-chili-peppers_otherside,89,85,4,6,V,C,18
red-hot-chili-peppers_scar-tissue,38,38,0,3,ii,C,7
red-hot-chili-peppers_under-the-bridge,148,100,48,12,IV,E,20
rivermaya_214,108,95,13,8,IV,G,14
rivermaya_kisapmata,105,105,0,4,"ii,V",D,22
robbie-williams_shes-the-one,76,76,0,5,IV,A#,17
rusted-root_send-me-on-my-way,85,85,0,4,IV,C,21
scorpions_wind-of-change,118,116,2,6,V,C,17
semisonic_closing-time,185,178,7,8,"V,ii",G,40
sheryl-crow_if-it-makes-you-happy,35,35,0,4,I,G,18
sister-hazel_all-for-you,152,140,12,6,V,G#,15
sixpence-none-the-richer_kiss-me,63,63,0,4,I,D#,31
smash-mouth_all-star,121,101,20,5,I,B,45
sonicflood_i-could-sing-of-your-love-forever,20,20,0,5,I,G,6
sonicflood_open-the-eyes-of-my-heart,17,17,0,5,"V,I",G,5
soundgarden_black-hole-sun,112,53,59,9,III,A#,22
sting_fields-of-gold,77,77,0,4,IV,D,21
sting_shape-of-my-heart,116,69,47,9,VI,E,1
stone-temple-pilots_creep,53,45,8,5,iii,C,11
sublime_badfish,50,50,0,4,V,D,11
sublime_santeria,75,55,20,6,"ii,I",B,19
sublime_what-i-got,89,89,0,2,I,G,46
tenacious-d_tribute,84,61,23,7,ii,G,20
the-black-crowes_she-talks-to-angels,28,28,0,3,IV,E,8
the-cardigans_lovefool,117,59,58,10,VI,G,8
the-connells_74-75,95,95,0,4,I,C,35
the-cranberries_dreams,54,48,6,5,I,E,20
the-cranberries_ode-to-my-family,88,88,0,4,I,D,26
the-cranberries_zombie,59,59,0,4,V,G,19
the-cure_friday-im-in-love,70,57,13,5,V,G,18
the-dubliners_the-fields-of-athenry,83,83,0,4,I,E,32
the-las_there-she-goes,86,86,0,5,I,G,29
the-offspring_self-esteem,197,163,34,6,I,F,54
the-offspring_the-kids-arent-alright,32,32,0,4,"IV,I",C#,10
the-pretenders_ill-stand-by-you,73,62,11,9,iii,G,15
the-smashing-pumpkins_1979,51,49,2,6,I,D#,17
the-smashing-pumpkins_disarm,78,78,0,4,V,G,10
the-smashing-pumpkins_today,89,51,38,7,#VI,A#,22
the-smashing-pumpkins_tonight-tonight,89,89,0,5,I,F#,23
the-tragically-hip_bobcaygeon,65,65,0,6,I,G,24
the-verve_bitter-sweet-symphony,196,196,0,4,"ii,IV",A,46
the-verve_lucky-man,70,70,0,3,I,D,44
the-verve_the-drugs-dont-work,91,91,0,5,I,C,47
the-wallflowers_one-headlight,107,86,21,6,I,D,24
third-eye-blind_hows-it-going-to-be,73,73,0,4,V,F,21
third-eye-blind_jumper,41,41,0,4,I,G,20
third-eye-blind_semi-charmed-life,170,170,0,4,V,G,35
tom-petty_you-dont-know-how-it-feels,140,134,6,4,I,A,59
tom-petty-and-the-heartbreakers_learning-to-fly,162,162,0,4,"I,vi",C,47
tom-petty-and-the-heartbreakers_mary-janes-last-dance,79,73,6,5,ii,G,21
tonic_if-you-could-only-see,73,71,2,6,V,C#,17
u2_one,59,59,0,4,IV,G,5
weezer_buddy-holly,104,81,23,7,IV,D#,22
weezer_say-it-aint-so,116,81,35,6,"III,IV",D#,23
weezer_undone-the-sweater-song,65,65,0,3,IV,G,13
alain-souchon_foule-sentimentale,291,223,68,5,iv,Em,67
backstreet-boys_i-want-it-that-way,94,66,28,7,I,E,19
bonnie-raitt_something-to-talk-about,40,24,16,9,II,C#,6
britney-spears_baby-one-more-time,82,55,27,6,III,D#,16
celine-dion_all-by-myself,177,56,121,22,VI,A,22
celine-dion_beauty-and-the-beast,35,33,2,6,IV,G,5
celine-dion_because-you-loved-me,56,33,23,13,I,G#,12
celine-dion_my-heart-will-go-on,89,66,23,8,V,E,10
celine-dion_pour-que-tu-maimes-encore,89,61,28,10,I,D,17
celine-dion_the-prayer,68,51,17,13,I,F,16
cher_believe,77,77,0,6,IV,C,15
christina-aguilera_reflection,85,63,22,12,V,G,11
destinys-child_say-my-name,131,131,0,4,iv,Cm,28
dido_thank-you,88,86,2,8,IV,B,27
francis-cabrel_la-corrida,86,76,10,6,V,F,21
guus-meeuwis-vagant_het-is-een-nacht-levensecht,103,103,0,4,V,G,25
haddaway_what-is-love,102,102,0,4,"I,iii",C,26
hanson_mmmbop,34,34,0,3,V,A,8
henry-valentino_im-wagen-vor-mir,101,101,0,5,IV,C,21
luis-miguel_historia-de-un-amor,29,23,6,6,vi,C,2
mariah-carey_all-i-want-for-christmas-is-you,84,62,22,9,I,G,20
mariah-carey_when-you-believe,85,47,38,12,II,A,13
michael-jackson_heal-the-world,119,99,20,15,ii,A,14
michael-jackson_you-are-not-alone,63,31,32,15,v,F#,8
phil-collins_son-of-man,65,47,18,7,I,A,20
robbie-williams_angels,56,48,8,6,I,C,19
