song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
randy-travis_forever-and-ever-amen,84,72,12,5,"IV,I",D,29
elton-john_sacrifice,93,93,0,6,"IV,V",C#,19
frankie-goes-to-hollywood_the-power-of-love,75,75,0,5,VI,Am,19
michael-jackson_billie-jean,44,44,0,3,iii,D,6
pixies_here-comes-your-man,61,61,0,4,V,D,14
bruce-springsteen_atlantic-city,115,115,0,4,I,G#,52
foreigner_i-want-to-know-what-love-is,77,77,0,5,V,F#,12
traveling-wilburys_handle-with-care,97,91,6,5,IV,G,30
the-cure_lovesong,73,73,0,5,V,C,6
the-smiths_heaven-knows-im-miserable-now,82,67,15,7,I,B,22
pogues_dirty-old-town,52,50,2,7,I,G,16
whitney-houston_i-wanna-dance-with-somebody-who-loves-me,68,59,9,9,IV,F#,9
alphaville_forever-young,101,101,0,5,V,C,11
neil-young_rockin-in-the-free-world,129,128,1,5,IV,G,9
michael-jackson_beat-it,48,48,0,3,VII,D#m,20
eric-clapton_knocking-on-heavens-door,54,54,0,4,V,G,16
metallica_fade-to-black,156,100,56,9,VI,G,26
the-clash_should-i-stay-or-should-i-go,101,94,7,4,IV,D,41
kenny-rogers_islands-in-the-stream,48,15,33,7,bVI,C,8
the-church_under-the-milky-way,81,56,25,4,I,G,27
dire-straits_brothers-in-arms,118,118,0,6,IV,B,13
raffi_wheels-on-the-bus,32,32,0,2,"I,IV",A,16
alannah-myles_black-velvet,62,42,20,8,"vi,III,V",F#,4
dan-fogelberg_leader-of-the-band,156,154,2,7,IV,G,37
the-outfield_your-love,72,68,4,5,V,E,3
joy-division_love-will-tear-us-apart,96,96,0,4,I,D,44
garth-brooks_if-tomorrow-never-comes,93,93,0,6,I,G,25
leonard-cohen_dance-me-to-the-end-of-love,72,56,16,4,i,Gm,37
garth-brooks_the-dance,50,50,0,5,V,G,9
billy-idol_white-wedding,71,71,0,4,ii,A,7
nena_99-luftballons,99,99,0,4,I,E,35
patti-smith_because-the-night,143,100,43,5,iii,G,39
u2_where-the-streets-have-no-name,53,44,9,5,V,G,14
billy-joel_uptown-girl,91,71,20,10,I,E,24
black-uk_wonderful-life,56,56,0,4,vi,G,19
u2_all-i-want-is-you,125,125,0,3,I,C#,63
soft-cell_tainted-love,119,94,25,5,I,A#,33
willie-nelson_pancho-and-lefty,77,77,0,4,IV,D,12
bon-jovi_you-give-love-a-bad-name,71,53,18,5,ii,A#,20
fleetwood-mac_gypsy,120,60,60,8,"I,#II",D,32
george-michael_faith,48,48,0,5,V,E,15
the-beatles_real-love,98,88,10,9,I,D#,24
ozzy-osbourne_crazy-train,156,156,0,5,I,A,55
dire-straits_money-for-nothing,90,61,29,7,vi,Bb,13
reo-speedwagon_cant-fight-this-feeling,94,91,3,7,IV,A,23
roxette_listen-to-your-heart,168,48,120,9,"II,#iv",A,19
abba_happy-new-year,116,93,23,9,I,A,23
cyndi-lauper_girls-just-want-to-have-fun,36,36,0,4,vi,F#,2
tina-turner_the-best,30,23,7,7,ii,C,7
bob-marley_could-you-be-loved,60,60,0,5,vi,D,6
u2_sunday-bloody-sunday,121,116,5,5,I,C#,43
queen_radio-ga-ga,67,67,0,5,IV,F,16
john-mellencamp_hurts-so-good,91,91,0,4,I,A,36
elton-john_i-guess-thats-why-they-call-it-the-blues,128,94,34,8,IV,G,33
inxs_never-tear-us-apart,40,40,0,5,IV,C,13
roxette_it-must-have-been-love,60,52,8,9,I,F,15
alabama_dixieland-delight,125,84,41,11,I,D,26
whitesnake_here-i-go-again,173,173,0,5,V,G,29
