song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
john-lennon_happy-xmas-war-is-over,35,31,4,6,V,D,6
acdc_highway-to-hell,210,210,0,3,I,D,91
acdc_tnt,135,72,63,3,#VI,A,34
aerosmith_dream-on,85,58,27,10,vi,Ab,1
alice-cooper_poison,142,105,37,11,I,C,34
america_a-horse-with-no-name,58,58,0,2,ii,D,20
america_sister-golden-hair,64,64,0,6,IV,E,15
america_ventura-highway,13,7,6,2,i,Em,7
bee-gees_how-deep-is-your-love,76,41,35,11,vi,G#,5
bee-gees_more-than-a-woman,22,19,3,5,VI,Bm,4
bette-midler_the-rose,55,55,0,6,V,C,12
billy-joel_just-the-way-you-are,135,94,41,12,V,G,11
billy-joel_new-york-state-of-mind,166,113,53,13,V,F,25
billy-joel_piano-man,252,188,64,6,IV,G,65
billy-joel_shes-always-a-woman,119,97,22,12,I,D#,35
billy-joel_vienna,86,56,30,9,I,A#,19
black-sabbath_paranoid,96,96,0,4,V,G,20
bob-dylan_hurricane,242,242,0,6,IV,C,55
bob-dylan_one-more-cup-of-coffee,45,34,11,4,VI,Am,9
bob-dylan_shelter-from-the-storm,186,186,0,3,I,E,68
bob-dylan_simple-twist-of-fate,72,63,9,4,I,E,27
bob-dylan_tangled-up-in-blue,209,156,53,5,I,A,77
bob-seger-the-silver-bullet-band_night-moves,139,93,46,7,#VI,G#,29
bob-seger-the-silver-bullet-band_turn-the-page,50,46,4,4,I,D,22
bonnie-raitt_angel-from-montgomery,86,78,8,4,V,A,30
boston_more-than-a-feeling,134,121,13,8,V,G,28
bread_everything-i-own,85,80,5,7,I,A,29
bread_if,51,36,15,8,I,A,14
bruce-springsteen_born-to-run,150,125,25,8,I,E,43
carly-simon_youre-so-vain,77,77,0,6,vi,C,16
carole-king_its-too-late,34,25,9,6,ii,G,4
carole-king_so-far-away,69,69,0,6,IV,D,14
carole-king_will-you-love-me-tomorrow,47,28,19,9,I,G,14
carole-king_youve-got-a-friend,93,58,35,9,IV,D#,12
cat-stevens_father-and-son,107,107,0,6,ii,G,25
cat-stevens_morning-has-broken,114,78,36,12,I,G,28
cat-stevens_wild-world,73,58,15,7,"V,IV",C,8
chicago_if-you-leave-me-now,83,65,18,10,"ii,IV",F#,12
creedence-clearwater-revival_have-you-ever-seen-the-rain,56,56,0,4,I,C,22
creedence-clearwater-revival_lookin-out-my-back-door,64,50,14,7,IV,G,14
creedence-clearwater-revival_wholl-stop-the-rain,45,45,0,6,I,G,17
crosby-stills-nash-young_helpless,59,59,0,3,V,D,19
david-bowie_changes,128,110,18,9,"IV,I",C,39
david-bowie_heroes,44,44,0,5,V,G,16
david-bowie_life-on-mars,87,27,60,13,VI,Bb,1
david-bowie_moonage-daydream,61,42,19,6,I,D,18
david-bowie_rock-n-roll-suicide,74,19,55,17,bII,Gb,1
david-bowie_starman,85,75,10,10,V,F,25
david-bowie_the-man-who-sold-the-world,81,62,19,5,vi,F,27
david-bowie_ziggy-stardust,68,56,12,9,I,G,21
deep-purple_smoke-on-the-water,117,78,39,5,I,G,60
deep-purple_soldier-of-fortune,54,46,8,8,vi,Bb,6
dire-straits_sultans-of-swing,139,123,16,5,V,F,8
eagles_best-of-my-love,38,37,1,6,ii,C,11
eagles_desperado,96,73,23,10,I,G,24
eagles_hotel-california,54,37,17,7,III,D,10
eagles_lyin-eyes,132,126,6,8,IV,G,31
eagles_new-kid-in-town,101,71,30,13,V,E,19
eagles_peaceful-easy-feeling,116,116,0,4,I,E,45
eagles_take-it-easy,105,92,13,6,I,C,38
eagles_take-it-to-the-limit,65,63,2,6,IV,B,16
eagles_tequila-sunrise,89,87,2,8,I,G,57
electric-light-orchestra_mr-blue-sky,119,66,53,11,IV,C,9
elton-john_bennie-and-the-jets,47,45,2,6,I,G,21
elton-john_crocodile-rock,95,69,26,10,IV,G,14
elton-john_goodbye-yellow-brick-road,91,47,44,11,II,A#,11
elton-john_rocket-man,112,87,25,6,I,A#,33
elton-john_tiny-dancer,130,95,35,12,I,F,38
elton-john_your-song,117,112,5,7,vi,D#,17
elvis-presley_always-on-my-mind,136,129,7,6,V,G,32
elvis-presley_burning-love,85,85,0,4,V,D,22
elvis-presley_thats-alright-mama,35,35,0,3,I,A,20
eric-carmen_all-by-myself,82,38,44,7,iv,A,13
eric-clapton_cocaine,39,19,20,4,#VI,E,16
eric-clapton_i-shot-the-sheriff,78,78,0,4,i,Gm,28
eric-clapton_nobody-knows-you-when-youre-down-and-out,102,47,55,8,VI,C,13
eric-clapton_wonderful-tonight,49,49,0,4,V,G,9
faces_ooh-la-la,33,33,0,3,ii,D,13
fleetwood-mac_dreams,64,64,0,3,VII,Am,12
fleetwood-mac_go-your-own-way,56,56,0,4,IV,F,7
fleetwood-mac_rhiannon,23,23,0,3,I,F,12
fleetwood-mac_the-chain,25,20,5,5,VI,Em,5
george-harrison_my-sweet-lord,109,67,42,9,"II,vi",B,10
grateful-dead_brokedown-palace,77,61,16,7,I,F,26
grateful-dead_friend-of-the-devil,24,24,0,4,"IV,V",G,3
grateful-dead_ripple,59,57,2,4,IV,G,22
