,IV,V,I,vi,ii,iii
ii,0.6470588235294118,0.35294117647058826,0.0,0.0,0.0,0.0
IV,0.0,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.26666666666666666,0.0
I,0.0,0.625,0.0,0.0,0.125,0.25
V,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855
iii,0.0,0.0,0.0,1.0,0.0,0.0
vi,0.2,0.0,0.5333333333333333,0.0,0.26666666666666666,0.0
