,IV,V,I,ii,vi
IV,0.1,0.36666666666666664,0.43333333333333335,0.1,0.0
V,0.08823529411764706,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.029411764705882353
vi,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.0
I,0.22,0.28,0.38,0.02,0.1
ii,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.058823529411764705
