,I,vi,V,IV
IV,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.0
I,0.038461538461538464,0.38461538461538464,0.5769230769230769,0.0
V,0.13793103448275862,0.5862068965517241,0.0,0.27586206896551724
vi,0.2708333333333333,0.08333333333333333,0.16666666666666666,0.4791666666666667
