,ii,I,V,IV,vi,iii,i,II,v,III
V,0.15217391304347827,0.391304347826087,0.021739130434782608,0.15217391304347827,0.13043478260869565,0.15217391304347827,0.0,0.0,0.0,0.0
ii,0.0,0.25,0.08333333333333333,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0
I,0.12727272727272726,0.0,0.38181818181818183,0.18181818181818182,0.07272727272727272,0.05454545454545454,0.07272727272727272,0.10909090909090909,0.0,0.0
i,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
vi,0.0,0.27906976744186046,0.3023255813953488,0.23255813953488372,0.0,0.11627906976744186,0.0,0.06976744186046512,0.0,0.0
II,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.0,0.09090909090909091,0.13636363636363635,0.6363636363636364,0.13636363636363635,0.0,0.0,0.0,0.0,0.0
IV,0.0,0.46511627906976744,0.06976744186046512,0.046511627906976744,0.37209302325581395,0.0,0.0,0.0,0.0,0.046511627906976744
v,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
