,vi,I,V,IV
vi,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.15384615384615385
I,0.23529411764705882,0.17647058823529413,0.47058823529411764,0.11764705882352941
V,0.13793103448275862,0.13793103448275862,0.41379310344827586,0.3103448275862069
IV,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.0
