,V,I,IV,vi
I,0.6521739130434783,0.17391304347826086,0.17391304347826086,0.0
V,0.15384615384615385,0.0,0.38461538461538464,0.46153846153846156
IV,0.0,0.6363636363636364,0.36363636363636365,0.0
vi,0.0,1.0,0.0,0.0
